timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621591832033,-1,-1,5,5,5,5
1621591832682,-1,-1,4,4,5,5
1621591832692,440,736,3,4,0,0
1621591832702,378,648,4,4,0,0
1621591832712,327,595,4,5,0,0
1621591832722,-1,-1,5,5,5,5
1621591832732,-1,-1,5,5,5,5
1621591832742,-1,-1,5,5,5,5
1621591832752,-1,-1,5,5,5,5
1621591832762,331,558,4,4,0,0
1621591832772,413,550,4,4,0,0
1621591832782,472,526,4,5,0,0
1621591832792,496,520,4,5,0,0
1621591832802,481,527,4,3,0,0
1621591832812,481,530,4,4,0,0
1621591832822,489,527,4,4,0,0
1621591832832,447,551,4,5,0,0
1621591832842,361,600,4,5,0,0
1621591832852,245,621,4,5,0,0
1621591832862,216,562,5,5,0,0
1621591832872,124,527,4,4,0,0
1621591832882,-1,-1,5,5,5,5
1621591832892,-1,-1,5,5,5,5
1621591832902,185,519,4,4,0,0
1621591832912,137,556,4,4,0,0
1621591832922,76,611,4,4,0,0
1621591832932,85,627,4,4,0,0
1621591832942,131,603,4,4,0,0
1621591832952,161,582,4,4,0,0
1621591832962,186,568,4,5,0,0
1621591832972,-1,-1,5,5,5,5
1621591832982,-1,-1,5,5,5,5
1621591832992,-1,-1,5,5,5,5
1621591833002,-1,-1,5,5,5,5
1621591833012,-1,-1,5,5,5,5
1621591833022,-1,-1,5,5,5,5
1621591833032,204,565,4,5,0,0
1621591833042,-1,-1,5,5,5,5
1621591833052,-1,-1,5,5,5,5
1621591833062,-1,-1,5,5,5,5
1621591833072,-1,-1,5,5,5,5
1621591833082,16,526,5,5,0,0
1621591833092,174,543,5,4,0,0
1621591833102,153,552,4,4,0,0
1621591833112,71,551,4,4,0,0
1621591833122,209,564,4,4,0,0
1621591833132,315,590,5,4,0,0
1621591833142,286,524,4,5,0,0
1621591833152,283,512,4,5,0,0
1621591833162,-1,-1,5,5,5,5
1621591833172,-1,-1,5,5,5,5
1621591833182,399,516,4,5,0,0
1621591833192,426,515,4,5,0,0
1621591833202,463,521,4,4,0,0
1621591833212,494,534,4,5,0,0
1621591833222,518,546,4,5,0,0
1621591833232,514,546,4,5,0,0
1621591833242,462,527,4,4,0,0
1621591833252,391,508,4,5,0,0
1621591833262,286,495,4,5,0,0
1621591833272,153,488,4,4,0,0
1621591833282,-1,-1,4,4,5,5
1621591833292,297,480,4,4,0,0
1621591833302,344,461,4,4,0,0
1621591833312,-1,-1,5,5,5,5
1621591833322,-1,-1,5,5,5,5
1621591833332,374,455,4,4,0,0
1621591833342,409,465,4,4,0,0
1621591833352,461,467,4,4,0,0
1621591833362,480,467,4,4,0,0
1621591833372,478,488,4,4,0,0
1621591833382,491,330,5,5,0,0
1621591833392,-1,-1,5,5,5,5
1621591833402,-1,-1,5,5,5,5
1621591833412,-1,-1,5,5,5,5
1621591833422,-1,-1,5,5,5,5
1621591833432,509,504,4,5,0,0
1621591833442,-1,-1,5,5,5,5
1621591833452,-1,-1,5,5,5,5
1621591833462,-1,-1,5,5,5,5
1621591833472,-1,-1,5,5,5,5
1621591833482,-1,-1,4,4,5,5
1621591833492,744,570,4,4,0,0
1621591833502,780,570,4,4,0,0
1621591833512,806,577,4,4,0,0
1621591833521,829,584,4,4,0,0
1621591833531,850,598,4,4,0,0
1621591833541,873,610,4,4,0,0
1621591833551,889,615,4,4,0,0
1621591833561,905,620,4,4,0,0
1621591833571,919,629,4,4,0,0
1621591833581,933,651,4,4,0,0
1621591833591,967,635,4,4,0,0
1621591833601,1013,608,4,4,0,0
1621591833611,-1,-1,5,5,5,5
1621591833621,-1,-1,5,5,5,5
1621591833631,-1,-1,5,5,5,5
1621591833641,-1,-1,5,5,5,5
1621591833651,1054,652,4,4,0,0
1621591833661,1097,674,4,4,0,0
1621591833671,1148,686,4,4,0,0
1621591833681,1186,693,4,4,0,0
1621591833691,1191,697,4,4,0,0
1621591833701,1200,703,4,4,0,0
1621591833711,-1,-1,5,5,5,5
1621591833721,-1,-1,5,5,5,5
1621591833731,811,640,5,4,0,0
1621591833741,-1,-1,5,5,5,5
1621591833751,-1,-1,5,5,5,5
1621591833761,-1,-1,5,5,5,5
1621591833771,-1,-1,5,5,5,5
1621591833781,1258,856,4,4,0,0
1621591833791,1254,766,4,4,0,0
1621591833801,1282,765,4,3,0,0
1621591833811,1250,735,4,4,0,0
1621591833821,1214,717,4,4,0,0
1621591833831,1202,737,4,4,0,0
1621591833841,1197,748,4,4,0,0
1621591833851,1193,753,4,4,0,0
1621591833861,1190,754,4,4,0,0
