timestamp,x,y,pupil_left,pupil_right,validity_left,validity_right
1621852733422,-1,-1,5,5,5,5
1621852733431,911,960,3,5,0,0
1621852733441,-1,-1,3,3,5,5
1621852733451,455,1076,3,5,0,0
1621852733461,-1,-1,3,3,5,5
1621852733471,-1,-1,3,3,5,5
1621852733481,-1,-1,3,3,5,5
1621852733491,-1,-1,3,5,5,5
1621852733501,-1,-1,3,3,5,5
1621852733511,-1,-1,3,5,5,5
1621852733521,-1,-1,3,3,5,5
1621852733531,-1,-1,3,2,5,5
1621852733541,-1,-1,3,3,5,5
1621852733551,-1,-1,3,2,5,5
1621852733561,-1,-1,3,3,5,5
1621852733571,-1,-1,3,2,5,5
1621852733581,-1,-1,3,3,5,5
1621852733591,-1,-1,3,2,5,5
1621852733601,-1,-1,3,3,5,5
1621852733611,-1,-1,3,3,5,5
1621852733621,-1,-1,3,3,5,5
1621852733631,-1,-1,3,3,5,5
1621852733641,-1,-1,3,3,5,5
1621852733651,-1,-1,3,3,5,5
1621852733661,-1,-1,3,3,5,5
1621852733671,-1,-1,3,3,5,5
1621852733681,-1,-1,3,3,5,5
1621852733691,-1,-1,3,3,5,5
1621852733701,-1,-1,3,3,5,5
1621852733711,-1,-1,3,3,5,5
1621852733721,-1,-1,3,3,5,5
1621852733731,-1,-1,3,3,5,5
1621852733741,-1,-1,3,3,5,5
1621852733751,-1,-1,3,3,5,5
1621852733761,-1,-1,3,3,5,5
1621852733771,-1,-1,3,3,5,5
1621852733781,-1,-1,3,3,5,5
1621852733791,-1,-1,3,3,5,5
1621852733801,-1,-1,3,3,5,5
1621852733811,-1,-1,3,3,5,5
1621852733821,-1,-1,3,3,5,5
1621852733831,-1,-1,3,2,5,5
1621852733841,675,604,3,3,0,0
1621852733851,-1,-1,3,3,5,5
1621852733861,-1,-1,3,3,5,5
1621852733871,-1,-1,3,3,5,5
1621852733881,-1,-1,3,3,5,5
1621852733891,-1,-1,3,3,5,5
1621852733901,-1,-1,3,3,5,5
1621852733911,-1,-1,3,3,5,5
1621852733921,-1,-1,3,3,5,5
1621852733931,-1,-1,3,3,5,5
1621852733941,-1,-1,3,3,5,5
1621852733951,-1,-1,3,3,5,5
1621852733961,-1,-1,3,3,5,5
1621852733971,-1,-1,3,3,5,5
1621852733981,-1,-1,3,3,5,5
1621852733991,-1,-1,3,3,5,5
1621852734001,-1,-1,3,3,5,5
1621852734011,-1,-1,3,3,5,5
1621852734021,-1,-1,3,3,5,5
1621852734031,-1,-1,3,3,5,5
1621852734041,-1,-1,3,3,5,5
1621852734051,-1,-1,3,3,5,5
1621852734061,-1,-1,3,3,5,5
1621852734071,-1,-1,3,3,5,5
1621852734081,-1,-1,3,3,5,5
1621852734091,1119,107,3,3,0,0
1621852734101,1037,193,3,3,0,0
