start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1622101950798,1622101950818,20,1,174,12619.5139960807,-1,55
1622101950898,1622101950908,10,-1,67,-1.0,-1,-1
1622101952127,1622101952187,60,14,2400,171195.474374128,-110532,108
1622101952257,1622101952317,60,8,678,13986.2389061945,-55601,295
1622101953207,1622101953287,80,53,1813,87935.1103908316,-100016,141
1622101953347,1622101953397,50,7,670,-1.0,-39307,279
1622101953786,1622101953836,50,8,227,7843.25049265964,-1391,264
1622101954316,1622101954346,30,4,227,-1.0,-9820,41
1622101954516,1622101954706,190,10,1181,78570.6823442915,-98439,115
1622101955405,1622101955425,20,13,1707,92783.2953850607,-1,64
1622101955575,1622101955625,50,10,274,5029.31241137017,-16543,271
1622101955635,1622101955655,20,0,50,2115.8108371833,-1,153
1622101957824,1622101957844,20,1,180,10877.5221283686,-1,106
1622101957974,1622101958054,80,10,496,26823.0180965086,-34704,264
1622101958803,1622101958813,10,-1,32,1777.6049610277,-1,-1
1622101958893,1622101958903,10,-1,45,-1.0,-1,-1
1622101960223,1622101960362,139,8,910,61834.7299654676,-91487,82
1622101960372,1622101960472,100,7,173,7646.67847039568,-7738,267
1622101960542,1622101960552,10,-1,30,-1.0,-1,-1
1622101962591,1622101962601,10,-1,81,5223.43659707453,-1,-1
1622101962711,1622101962731,20,0,73,-1.0,-2468,75
1622101962811,1622101962901,90,1,425,20129.8794424971,-26615,182
1622101962961,1622101962981,20,0,190,-1.0,-14311,270
1622101963011,1622101963031,20,0,37,2187.94978804084,-423,57
1622101963161,1622101963181,20,0,34,1347.32687421847,-9,270
1622101963241,1622101963251,10,-1,54,-1.0,-1,-1
1622101963511,1622101963521,10,-1,30,775.284293426895,-1,-1
1622101963541,1622101963570,29,0,44,993.118827221708,-1285,279
1622101963830,1622101963850,20,1,258,19933.9378897313,-1,84
1622101964000,1622101964050,50,8,452,10697.5384134822,-31086,276
1622101964080,1622101964090,10,-1,32,364.084505093665,-1,-1
1622101964270,1622101964290,20,0,51,2844.71734139164,-315,111
1622101964780,1622101964790,10,-1,66,-1.0,-1,-1
1622101964810,1622101964830,20,0,46,1226.73412093913,-1,285
1622101965329,1622101965359,30,1,93,5299.87571034366,-3943,305
1622101965499,1622101965529,30,1,91,5928.56604603616,-5173,197
1622101965729,1622101965779,50,1,101,7138.65553998552,-2803,32
1622101965799,1622101965809,10,-1,34,2100.07148187766,-1,-1
1622101966779,1622101966789,10,-1,38,1655.7267808862,-1,-1
1622101966918,1622101966938,20,0,34,1864.66716744788,-307,113
1622101967318,1622101967348,30,3,310,15763.5111765618,-1,86
1622101967428,1622101967478,50,6,236,5911.15916818012,-4131,269
1622101967538,1622101967558,20,1,90,1391.10626194717,-1,287
1622101967708,1622101967718,10,-1,40,-1.0,-1,-1
1622101967748,1622101967768,20,0,35,1573.95399027611,-1,135
1622101967828,1622101967848,20,0,60,23.9967035617603,-1,129
1622101967858,1622101967868,10,-1,30,1476.40768331752,-1,-1
1622101968777,1622101968787,10,-1,33,1673.81756676144,-1,-1
1622101968967,1622101968977,10,-1,41,1437.0067673642,-1,-1
1622101969877,1622101970047,170,9,1157,42826.7566245628,-85426,277
1622101970067,1622101970087,20,1,120,7503.64816541096,-1,285
1622101970147,1622101970157,10,-1,33,-1.0,-1,-1
1622101970996,1622101971016,20,0,33,2515.90553336364,-330,122
