start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621845055387,1621845055547,160,11,505,2706.15926171299,-36858,349
1621845055557,1621845055587,30,3,165,8467.3759843858,-6999,197
1621845055607,1621845055647,40,1,54,2859.4453393403,-1438,320
1621845055677,1621845055727,50,1,55,1188.69861908838,-562,345
1621845055787,1621845055827,40,1,81,-1.0,-3435,336
1621845055847,1621845055877,30,1,202,14645.189898144,-1,349
1621845056007,1621845056167,160,7,1075,94781.6868484778,-83589,318
1621845056226,1621845056366,140,5,62,1577.12757378857,-1698,341
1621845056456,1621845056466,10,-1,31,967.8541031401,-1,-1
1621845056716,1621845056746,30,2,170,9421.63408122826,-1,162
1621845056826,1621845056836,10,-1,101,-1.0,-1,-1
1621845056916,1621845057026,110,15,269,19780.4695002778,-10847,101
1621845057196,1621845057206,10,-1,30,1092.65496776475,-1,-1
1621845057306,1621845057316,10,-1,45,1679.43092037254,-1,-1
1621845057416,1621845057506,90,17,356,15601.6157967281,-27599,329
1621845057686,1621845057756,70,26,774,38083.0406415264,-8051,28
1621845057836,1621845057925,89,6,355,4306.5519916569,-18682,263
1621845057985,1621845058005,20,0,49,2144.81029493,-1804,255
1621845058025,1621845058125,100,9,1637,145080.862640718,-122418,191
1621845058155,1621845058165,10,-1,31,639.129887442133,-1,-1
1621845058185,1621845058195,10,-1,33,1495.94203241747,-1,-1
1621845058205,1621845058215,10,-1,30,187.66142155614,-1,-1
1621845058225,1621845058245,20,0,74,3702.52894584133,-1,336
1621845058305,1621845058365,60,8,296,12055.7693371445,-13171,178
1621845058375,1621845058445,70,2,105,3564.71555353912,-2998,24
1621845058645,1621845058665,20,2,177,10749.5617718574,-1,246
1621845059045,1621845059055,10,-1,681,-1.0,-1,-1
1621845059305,1621845059325,20,0,37,1773.01964302457,-513,74
1621845059345,1621845059425,80,11,296,14963.7464342789,-11344,32
1621845059475,1621845059494,19,0,157,11710.9320661501,-1,23
1621845059554,1621845059634,80,4,217,9804.30084608593,-13682,66
1621845059644,1621845059664,20,1,76,5355.46179772285,-1477,4
1621845059684,1621845059724,40,1,90,4744.76888618196,-4685,327
1621845059734,1621845059774,40,2,145,7491.25508324095,-1582,41
1621845059854,1621845059874,20,0,108,-1.0,-7275,355
1621845059884,1621845059894,10,-1,30,1459.79808510143,-1,-1
1621845059914,1621845059934,20,0,76,4303.83719513608,-1,41
1621845060004,1621845060094,90,10,424,25637.1122550317,-37952,245
1621845060104,1621845060144,40,1,92,7460.87978784356,-4260,126
1621845060154,1621845060184,30,0,203,16825.121745891,-2964,165
