start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1622102974119,1622102974209,90,10,667,36361.350491424,-32139,88
1622102974219,1622102974239,20,1,189,10707.0854775445,-1,34
1622102974309,1622102974339,30,3,716,54515.8619143079,-1,79
1622102974469,1622102974609,140,24,1079,90366.6574882804,-75589,269
1622102974619,1622102974679,60,6,574,28807.80026777,-27757,56
1622102974739,1622102974789,50,17,421,20725.8944393496,-14677,85
1622102974908,1622102974968,60,15,853,32041.5826522364,-50020,334
1622102975088,1622102975168,80,8,2124,168391.831280859,-94324,59
1622102975228,1622102975258,30,7,809,-1.0,-42897,237
1622102975318,1622102975368,50,2,96,4538.89231069898,-4191,244
1622102975438,1622102975528,90,28,690,43366.0750960141,-41553,19
1622102976108,1622102976138,30,8,405,1194.40221423206,-1,22
1622102976298,1622102976308,10,-1,759,-1.0,-1,-1
1622102976368,1622102976378,10,-1,320,-1.0,-1,-1
1622102976957,1622102977047,90,33,1058,76267.6161946584,-67444,6
1622102977547,1622102977557,10,-1,460,-1.0,-1,-1
1622102978616,1622102978646,30,6,236,-1.0,-1012,11
1622102981644,1622102981674,30,13,2033,-1.0,-154068,189
1622102983203,1622102983263,60,23,1220,6217.61431117725,-66059,92
1622102984033,1622102984123,90,10,351,19832.7995023409,-9776,169
1622102984183,1622102984273,90,5,335,21771.200807108,-16345,327
1622102984353,1622102984363,10,-1,75,-1.0,-1,-1
1622102984383,1622102984413,30,8,569,30461.5516523964,-1,306
1622102984603,1622102984682,79,17,872,66853.006242474,-73897,226
1622102984742,1622102984812,70,19,832,39592.9401410103,-73899,122
1622102984872,1622102984892,20,1,84,-1.0,-430,265
1622102984902,1622102984952,50,16,659,43627.16987721,-18877,99
1622102985032,1622102985062,30,10,475,11653.7225796516,-1406,303
1622102985072,1622102985092,20,1,173,14937.7081432044,-8879,257
1622102985102,1622102985162,60,3,95,7983.1351551398,-3846,342
1622102985192,1622102985242,50,5,277,16114.4060585076,-3696,95
1622102985322,1622102985362,40,1,212,1070.98874072755,-13674,329
1622102985402,1622102985462,60,1,378,32389.995735094,-18409,84
1622102985472,1622102985502,30,3,157,10383.3039735058,-5677,79
1622102985522,1622102985542,20,2,137,9866.58135864366,-1,285
1622102985602,1622102985612,10,-1,35,-1.0,-1,-1
1622102985652,1622102985672,20,0,39,2230.22948055489,-1,111
1622102985792,1622102985822,30,0,205,16439.1243353259,-6936,208
1622102985882,1622102985942,60,2,311,26989.1282062214,-1521,61
1622102986032,1622102986042,10,-1,306,27883.4493209309,-1,-1
1622102986132,1622102986142,10,-1,225,-1.0,-1,-1
1622102986152,1622102986202,50,3,360,35742.7367011597,-31330,268
1622102986212,1622102986221,9,-1,300,27800.6063514885,-1,-1
1622102986331,1622102986371,40,4,1378,-1.0,-116683,234
1622102986451,1622102986611,160,6,323,16877.4027425301,-29086,42
1622102986621,1622102986661,40,2,155,10464.471821669,-10719,134
1622102986721,1622102986781,60,0,691,43874.4128906225,-1315,54
1622102986881,1622102986891,10,-1,130,-1.0,-1,-1
1622102986901,1622102986911,10,-1,47,3809.46055219902,-1,-1
1622102986921,1622102986941,20,0,63,2857.57593524763,-1,45
1622102987031,1622102987091,60,2,212,9890.21239638557,-11024,225
1622102987181,1622102987201,20,0,38,-1.0,-281,54
1622102987291,1622102987301,10,-1,32,641.616685274328,-1,-1
1622102987351,1622102987361,10,-1,38,1814.10774983121,-1,-1
1622102987371,1622102987381,10,-1,66,5210.79412990658,-1,-1
1622102987391,1622102987511,120,41,1546,114775.953837928,-82853,100
1622102987581,1622102987721,140,3,871,53814.4334683731,-38277,298
1622102987731,1622102987751,20,0,769,74394.7341433854,-73792,118
1622102987771,1622102987791,20,0,60,3707.10292718205,-26,155
1622102987870,1622102987900,30,0,129,-1.0,-9292,266
1622102988090,1622102988120,30,0,35,1013.77177817803,-185,111
1622102988200,1622102988220,20,0,51,2332.62550573874,-1016,265
1622102988230,1622102988260,30,5,246,11579.0596572934,-1,285
1622102988320,1622102988340,20,1,205,-1.0,-14496,151
1622102988500,1622102988510,10,-1,96,7716.99485061268,-1,-1
1622102988570,1622102988660,90,37,1566,67090.0960987992,-94789,17
1622102988720,1622102988880,160,14,766,40295.0916710057,-57421,245
1622102988890,1622102988910,20,6,769,42121.1878950666,-1,280
1622102988980,1622102989080,100,1,881,35249.831038597,-42834,39
1622102989140,1622102989200,60,10,294,14782.1974733058,-7837,99
1622102989220,1622102989260,40,0,104,9194.63055730384,-6171,45
1622102989380,1622102989460,80,2,183,14038.6183343118,-7963,250
