start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1622101067991,1622101068001,10,-1,39,2249.38160899821,-1,-1
1622101068980,1622101069840,860,18,737,59038.5555092787,-59201,106
1622101069860,1622101069990,130,5,68,2266.69248725766,-1687,24
1622101070010,1622101070060,50,2,56,3001.27319568476,-1507,348
1622101070070,1622101070779,709,28,622,32278.0412979841,-36157,217
1622101070989,1622101071159,170,17,280,15217.8513050523,-9477,11
1622101071169,1622101071459,290,18,162,8663.65289655666,-9590,7
1622101071479,1622101071519,40,1,70,2715.05174356974,-2113,14
1622101071529,1622101071589,60,15,403,18701.905087549,-15048,220
1622101071609,1622101071679,70,6,111,6578.39860518082,-3471,53
1622101071689,1622101071769,80,3,63,1209.62890630599,-904,47
1622101071789,1622101071799,10,-1,31,479.356203909988,-1,-1
1622101071809,1622101071889,80,2,117,6548.54610254699,-2365,37
1622101071899,1622101071919,20,0,390,34408.4966359596,-1,71
1622101071929,1622101071939,10,-1,472,46745.3445845129,-1,-1
1622101071949,1622101071989,40,1,159,13170.7148735971,-11923,73
1622101072069,1622101072118,49,12,503,36056.110816175,-28444,26
1622101072138,1622101072168,30,1,73,3818.90056895726,-1078,195
1622101072178,1622101072188,10,-1,30,1467.77977368781,-1,-1
1622101072208,1622101072228,20,0,47,2287.46137100833,-1108,200
1622101072238,1622101072258,20,0,45,1188.38896073418,-1,220
1622101072268,1622101072358,90,2,185,14411.7974147409,-13630,203
1622101072368,1622101072388,20,0,38,530.147991711406,-1,265
1622101072448,1622101072538,90,4,96,5269.200477499,-3242,353
1622101072608,1622101072678,70,4,92,2389.13106512083,-2625,203
1622101072698,1622101072708,10,-1,30,251.778484966992,-1,-1
1622101073308,1622101073328,20,1,67,4738.31222506306,-1465,94
1622101073338,1622101073348,10,-1,46,2445.42405841292,-1,-1
1622101073368,1622101073378,10,-1,33,1199.97585690457,-1,-1
1622101073398,1622101073408,10,-1,46,1801.55381831453,-1,-1
1622101073777,1622101073787,10,-1,31,1869.09718498991,-1,-1
1622101073847,1622101073857,10,-1,30,752.118711689026,-1,-1
1622101074007,1622101074027,20,0,40,827.093377508097,-1,288
1622101074047,1622101074187,140,26,1038,65719.3160502804,-73672,49
1622101074257,1622101074457,200,22,1360,103853.63689159,-49299,229
