start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621931378726,1621931378736,10,-1,35,2666.87370162691,-1,-1
1621931378746,1621931378806,60,7,1978,185108.927138577,-4184,193
1621931379126,1621931379695,569,23,1075,29796.2712327469,-88220,319
1621931379715,1621931379765,50,2,88,3137.93731290368,-4272,25
1621931379785,1621931379875,90,6,523,41858.3417419281,-43142,85
1621931379895,1621931379915,20,0,59,3338.96387049568,-23,271
1621931379925,1621931380195,270,6,552,43999.6850949938,-27577,23
1621931380225,1621931380325,100,7,456,24164.4946158954,-35783,296
1621931380395,1621931380415,20,0,39,3192.4294967154,-546,68
1621931380515,1621931380535,20,1,63,4355.2514309097,-277,52
1621931380605,1621931380615,10,-1,34,1823.9660810844,-1,-1
1621931380755,1621931380795,40,7,301,15501.2904907931,-15647,38
1621931380815,1621931380864,49,1,50,1659.06141603179,-1329,75
1621931380884,1621931381084,199,22,582,20423.2215207565,-26218,255
1621931381284,1621931381384,100,17,560,28148.1099246945,-26982,115
1621931381454,1621931381534,80,9,208,8574.53442048312,-6166,90
1621931381584,1621931381594,10,-1,33,1478.03221153048,-1,-1
1621931381704,1621931381764,60,2,67,1811.18222795152,-1224,357
1621931381794,1621931382214,420,20,517,26089.2722038766,-21529,212
1621931382224,1621931382314,90,1,153,12438.2920353388,-9096,238
1621931382384,1621931382464,80,4,132,5874.65006278594,-5449,16
1621931382474,1621931382553,79,6,234,10633.7282866979,-12821,75
1621931382593,1621931382613,20,0,41,1679.39634780622,-1,67
1621931382673,1621931382683,10,-1,31,1816.96777716277,-1,-1
1621931382733,1621931382773,40,2,100,4193.4596715653,-3175,237
1621931382943,1621931383053,110,2,619,46491.2318622054,-57554,340
1621931383083,1621931383133,50,1,196,13614.106660886,-11157,105
1621931383143,1621931383153,10,-1,55,4050.49419937777,-1,-1
1621931383173,1621931383183,10,-1,31,2075.83772874006,-1,-1
1621931383193,1621931383253,60,6,229,12570.9689717015,-10391,267
1621931383503,1621931383523,20,0,51,2283.11139651773,-1631,55
1621931383563,1621931383733,170,4,264,12525.9164016252,-21466,234
1621931383793,1621931383803,10,-1,46,2163.37212601246,-1,-1
1621931383813,1621931383863,50,2,48,2226.05263547535,-1355,67
1621931383883,1621931383903,20,0,34,1066.45422461967,-1,63
1621931383953,1621931383983,30,1,49,1592.41245916178,-1822,216
1621931384013,1621931384092,79,3,106,4906.08065237912,-4539,169
1621931384132,1621931384412,280,26,662,24970.2449857188,-39892,357
1621931384432,1621931384612,180,11,472,27029.7685356466,-32907,278
1621931384632,1621931384662,30,2,88,3874.85073498442,-3225,177
1621931384702,1621931384732,30,5,255,12879.750983874,-13286,134
1621931384752,1621931384842,90,15,468,29460.395955133,-36532,140
1621931384902,1621931384992,90,4,73,2266.38535249988,-2185,274
1621931385042,1621931385132,90,5,225,9844.68160802059,-17535,332
1621931385182,1621931385202,20,0,45,2020.48742969288,-1,296
1621931385252,1621931385282,30,1,87,5251.00973393808,-4123,315
1621931385302,1621931385312,10,-1,40,1462.15388138305,-1,-1
1621931385582,1621931385612,30,1,65,2037.76405211891,-3027,261
1621931386041,1621931386061,20,0,34,1987.68271294759,-14,288
1621931386231,1621931386251,20,1,73,3524.10199344556,-1,138
1621931386311,1621931386351,40,2,392,36247.6691682389,-12707,106
1621931386361,1621931386421,60,2,372,31476.6884513077,-25342,256
1621931386581,1621931386681,100,0,334,21051.6941394688,-17603,176
1621931386731,1621931386831,100,9,170,8525.80560268135,-13939,97
1621931387131,1621931387231,100,6,356,22630.0059575072,-27939,264
