start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1622104628779,1622104628829,50,4,146,8282.74756874205,-5563,143
1622104629049,1622104629089,40,1,35,553.612513091424,-349,25
1622104629119,1622104629129,10,-1,31,165.540829097307,-1,-1
1622104629149,1622104629189,40,5,208,9848.64468061552,-10901,153
1622104629388,1622104629448,60,2,70,1939.45617636332,-1179,20
1622104629458,1622104629598,140,39,2061,98713.3120625216,-111184,211
1622104629768,1622104629898,130,11,184,2862.48683560205,-4731,40
1622104629908,1622104629948,40,11,444,25754.9963633546,-17744,182
1622104629968,1622104630398,430,7,760,57885.9913769448,-39891,84
1622104630408,1622104630468,60,8,371,19037.6241503183,-30035,173
1622104630488,1622104630778,290,17,802,68058.6385528898,-42434,349
1622104630808,1622104630818,10,-1,75,6300.50616301119,-1,-1
1622104630828,1622104630838,10,-1,45,2268.17605227868,-1,-1
1622104630848,1622104630858,10,-1,38,2779.24472976574,-1,-1
1622104631107,1622104631147,40,3,131,10181.9930856279,-5830,90
1622104631447,1622104631497,50,4,393,31068.9757742033,-24548,274
1622104631587,1622104631597,10,-1,64,5753.07092761966,-1,-1
1622104631607,1622104631617,10,-1,48,2949.04206548139,-1,-1
1622104631957,1622104632007,50,10,451,32675.463316205,-34522,98
1622104632087,1622104632097,10,-1,33,503.262313093059,-1,-1
1622104632107,1622104632197,90,2,45,879.291534047763,-632,194
1622104632227,1622104632327,100,11,286,16162.1870950457,-22580,260
1622104632567,1622104632836,269,26,1535,104701.994510226,-117217,7
1622104632846,1622104632986,140,8,116,9293.79960779356,-4016,182
1622104633036,1622104633056,20,0,33,402.250292040535,-1,171
1622104633086,1622104633126,40,3,113,5245.90462889469,-6152,164
1622104633536,1622104633626,90,14,538,25155.9117927959,-31552,273
1622104633636,1622104633696,60,6,293,17258.8643562446,-1,133
1622104633706,1622104633816,110,7,260,20214.6843670844,-14209,334
1622104634026,1622104634056,30,0,38,1774.54805446026,-650,312
1622104634495,1622104634555,60,10,395,-1.0,-14731,101
1622104634795,1622104634845,50,14,421,18851.3494410375,-1314,287
1622104635175,1622104635185,10,-1,259,24418.2299132218,-1,-1
1622104635315,1622104635555,240,6,837,25828.9446886,-36642,92
1622104635575,1622104635585,10,-1,67,3826.64154567759,-1,-1
1622104635595,1622104635665,70,3,101,8393.17252057023,-2491,329
1622104635675,1622104635695,20,0,41,2169.05934625945,-1,5
1622104635715,1622104635735,20,0,49,2226.11891466725,-319,26
1622104635745,1622104635765,20,0,35,618.603193351417,-281,63
1622104635775,1622104635795,20,0,66,3184.03404982431,-1,347
1622104635835,1622104635845,10,-1,42,1423.90885488002,-1,-1
1622104635884,1622104635894,10,-1,31,1130.67657717172,-1,-1
1622104635934,1622104635944,10,-1,33,1221.0391259833,-1,-1
1622104636124,1622104636204,80,5,129,4576.69085949941,-4860,200
1622104636294,1622104636574,280,17,1674,13119.434124824,-77751,295
1622104636694,1622104636734,40,5,234,14870.1253378861,-14056,142
1622104636864,1622104636904,40,3,148,10073.6889800867,-8420,277
1622104637164,1622104637204,40,1,50,1563.24239778135,-1512,221
1622104637264,1622104637304,40,1,68,3126.76803488621,-2145,317
1622104637493,1622104637523,30,2,138,8261.48555140642,-7909,0
1622104637743,1622104637773,30,2,103,4578.43786925318,-3387,344
1622104638783,1622104638903,120,7,94,2902.63130191233,-3879,169
1622104638943,1622104639212,269,18,331,15950.6744979122,-17110,157
1622104639232,1622104639282,50,2,63,1383.43310758319,-2032,196
1622104639332,1622104639362,30,1,54,1419.16001518542,-1336,165
1622104639382,1622104639632,250,49,651,22179.1501637068,-25353,341
1622104639652,1622104639682,30,1,61,2847.03906150132,-1341,207
1622104639692,1622104639762,70,3,68,4057.54660226942,-1538,158
1622104639802,1622104639822,20,1,69,4050.30048543158,-2089,237
1622104639872,1622104639902,30,1,48,2462.60176347375,-1647,202
1622104639972,1622104639982,10,-1,31,1923.6017518761,-1,-1
1622104640002,1622104640022,20,0,41,1254.17667646225,-1,65
1622104640122,1622104640132,10,-1,44,2294.18374874139,-1,-1
1622104640142,1622104640162,20,0,43,1693.29317137336,-35,54
1622104640442,1622104640452,10,-1,35,2847.05509645226,-1,-1
1622104640462,1622104640532,70,7,211,15951.8207984982,-10944,82
1622104640751,1622104640821,69,16,1498,103302.89521447,-1,131
1622104640921,1622104641111,190,1,1035,25841.7594762016,-82349,311
1622104641151,1622104641221,70,3,97,4909.00364664626,-3339,2
1622104641231,1622104641301,70,2,54,1092.23165386547,-1056,336
1622104641311,1622104641341,30,0,43,1442.38704298064,-1232,6
1622104641351,1622104641421,70,14,562,47906.7699557858,-37611,215
1622104641451,1622104641641,190,5,2173,198088.48038567,-209719,323
1622104642700,1622104642760,60,23,1593,28663.2880127505,-115235,320
1622104642940,1622104642980,40,2,89,4624.72635719293,-4288,159
1622104643130,1622104643210,80,13,292,13031.1806948383,-13698,99
1622104643250,1622104643260,10,-1,39,2379.42884543424,-1,-1
1622104643290,1622104643310,20,0,31,1545.38885411572,-1,261
1622104643410,1622104643470,60,14,318,21811.5167566174,-12123,88
1622104643510,1622104643550,40,6,289,26148.8828684945,-24264,272
1622104643580,1622104643590,10,-1,33,2390.08432217411,-1,-1
1622104643610,1622104643690,80,25,426,21088.9228558104,-21871,308
1622104643880,1622104643960,80,9,467,21007.3103266565,-17372,163
1622104644000,1622104644010,10,-1,35,1437.31076728842,-1,-1
1622104644229,1622104644299,70,15,532,29485.0266347241,-24483,179
1622104644339,1622104644359,20,0,48,1717.01805485056,-1,342
1622104644389,1622104644399,10,-1,35,1356.93005934917,-1,-1
1622104644409,1622104644439,30,0,48,3129.93609319355,-1,303
1622104644549,1622104644619,70,21,556,19073.0696568386,-25258,336
1622104644729,1622104644739,10,-1,38,989.4119499565,-1,-1
1622104644759,1622104644769,10,-1,32,578.861060934605,-1,-1
1622104644779,1622104644789,10,-1,42,2204.70465503119,-1,-1
1622104644799,1622104644839,40,4,134,7070.30039566834,-4337,61
1622104644869,1622104644889,20,0,38,1613.5522935965,-175,138
1622104644899,1622104644919,20,0,34,973.708433118598,-97,221
1622104644969,1622104644999,30,1,56,2429.29036153676,-1215,160
1622104645019,1622104645069,50,1,117,5289.96171398425,-7523,358
1622104645089,1622104645169,80,3,68,1503.67761275894,-2264,155
1622104645179,1622104645219,40,2,90,4856.66436022242,-3288,202
1622104645239,1622104645329,90,3,62,3044.78054161758,-1768,192
1622104645369,1622104645379,10,-1,37,1758.13159746519,-1,-1
1622104645479,1622104645499,20,0,71,4552.200624794,-2775,270
1622104645539,1622104645559,20,0,47,2630.43286804671,-1,261
