start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621585516833,1621585517103,270,18,458,22570.1550644922,-28688,2
1621585517283,1621585517323,40,3,711,34761.0763811575,-52551,256
1621585517333,1621585517523,190,24,380,19944.9071219789,-16596,277
1621585517533,1621585517573,40,1,68,4342.57889509879,-2678,48
1621585517603,1621585517633,30,3,170,7411.6969070303,-1,63
1621585517743,1621585517763,20,3,257,7337.02437281698,-1,332
1621585517773,1621585517813,40,1,76,5555.21337297572,-2675,151
1621585517883,1621585518023,140,6,187,8504.45463647789,-10368,73
1621585518063,1621585518073,10,-1,46,1909.83466764359,-1,-1
1621585518213,1621585518223,10,-1,37,1840.50427925158,-1,-1
1621585518253,1621585518303,50,7,281,14377.3115589107,-13142,117
1621585518462,1621585518592,130,5,135,10486.8647723503,-7209,3
1621585518662,1621585518702,40,1,81,5248.72163451469,-2223,68
1621585518952,1621585518982,30,9,463,-1.0,-2181,157
1621585519422,1621585519512,90,5,369,7783.04432046978,-23861,254
1621585519552,1621585519572,20,1,80,4521.09686045629,-1,126
1621585519742,1621585519872,130,8,396,7456.50158534174,-30210,47
1621585519882,1621585519981,99,4,264,18147.2315474958,-16223,273
1621585520111,1621585520121,10,-1,33,1455.16368845689,-1,-1
1621585520141,1621585520151,10,-1,33,477.428757734289,-1,-1
1621585520161,1621585520171,10,-1,55,3274.2840314256,-1,-1
1621585520341,1621585520561,220,17,921,33975.1672957006,-88374,314
1621585520611,1621585520631,20,1,85,5785.01895137062,-2221,32
1621585520661,1621585520701,40,1,37,440.722168963195,-568,59
1621585520731,1621585520761,30,2,99,4871.08293932878,-4823,297
1621585520801,1621585520821,20,1,78,5102.62173398328,-1,290
1621585520881,1621585520971,90,2,128,5888.23571046047,-8700,10
1621585521101,1621585521141,40,7,307,19401.3455374136,-19445,5
1621585521151,1621585521221,70,1,152,7901.28854368595,-5619,296
1621585521231,1621585521291,60,3,198,11771.6309433759,-13284,13
1621585521321,1621585521421,100,18,369,17308.326594347,-10552,174
1621585521451,1621585521461,10,-1,39,1284.41967330593,-1,-1
1621585521501,1621585521541,40,5,224,10188.7005234661,-11854,174
1621585521571,1621585521590,19,0,58,3965.0111790877,-72,101
1621585521700,1621585521720,20,1,105,4607.9121042273,-1,247
1621585522170,1621585522220,50,6,267,4719.65113288152,-21518,36
1621585522560,1621585522590,30,6,412,-1.0,-18702,233
1621585522630,1621585522640,10,-1,35,971.336426114254,-1,-1
1621585522670,1621585522700,30,0,41,1177.28139665263,-826,86
1621585522720,1621585522770,50,2,58,2231.43276868488,-1110,73
1621585522780,1621585522800,20,0,175,13596.9893294731,-1,129
1621585522930,1621585522960,30,0,38,222.088993308617,-741,86
1621585522990,1621585523020,30,1,43,1320.55598408679,-699,87
1621585523050,1621585523070,20,0,39,1349.46125589321,-538,106
1621585523080,1621585523170,90,5,135,10018.3000932806,-6277,325
1621585523180,1621585523239,59,3,129,5062.71544009678,-5407,172
1621585523259,1621585523299,40,1,40,1616.96564569305,-1,35
1621585523429,1621585523459,30,1,106,-1.0,-6011,72
1621585523479,1621585523509,30,2,133,7871.32036255995,-5708,30
1621585523529,1621585523549,20,1,103,7983.10211743142,-4975,207
1621585523559,1621585523589,30,2,122,6547.79669741562,-4452,28
1621585523599,1621585523749,150,22,873,73997.9874444675,-43537,162
1621585523869,1621585523899,30,2,136,10247.8438448531,-10276,143
1621585523969,1621585523989,20,0,34,2365.98836090102,-1,101
1621585523999,1621585524019,20,1,280,18635.9847076455,-1,146
1621585524199,1621585524449,250,12,722,25757.7956091456,-44338,295
1621585524459,1621585524599,140,5,135,6450.01274798414,-7439,161
1621585524629,1621585524759,130,9,496,26316.9462314056,-35430,166
1621585524769,1621585524799,30,0,32,1052.13661830475,-5,261
1621585524878,1621585524898,20,1,84,4096.62975100222,-1,262
1621585525058,1621585525078,20,0,66,-1.0,-3077,257
1621585525178,1621585525208,30,1,80,4553.47435015131,-3737,118
1621585525328,1621585525388,60,0,60,4023.20855708608,-2344,315
1621585525408,1621585525448,40,1,41,2484.94280613956,-1,74
1621585525588,1621585525598,10,-1,34,1275.70630950109,-1,-1
1621585525798,1621585525818,20,2,279,-1.0,-14552,333
1621585525858,1621585525878,20,1,56,1974.73924716909,-1,325
1621585525928,1621585525938,10,-1,48,2104.91776330876,-1,-1
1621585525988,1621585526038,50,4,175,5766.31417831193,-11721,203
1621585526238,1621585526358,120,34,585,46459.0325804151,-29050,161
1621585526368,1621585526378,10,-1,31,934.60636476584,-1,-1
1621585526388,1621585526418,30,1,67,3534.52240107276,-1539,333
1621585526458,1621585526487,29,0,39,686.497715359148,-300,333
1621585526507,1621585526537,30,1,80,4674.73082664872,-2371,301
1621585526727,1621585526777,50,6,692,-1.0,-48844,268
1621585526787,1621585526817,30,1,52,2125.55649670265,-1,183
1621585526917,1621585526937,20,1,186,-1.0,-8682,86
1621585527077,1621585527187,110,7,202,4958.33395834244,-14733,29
1621585527217,1621585527257,40,2,132,8329.0025082061,-6126,52
1621585527357,1621585527367,10,-1,43,1433.25101773265,-1,-1
1621585527427,1621585527507,80,4,245,20033.7587714891,-17324,192
1621585527977,1621585528017,40,16,1491,70973.7522239093,-1537,58
1621585528027,1621585528126,99,20,2035,200530.968942265,-149914,247
1621585528426,1621585528596,170,12,508,22487.5641437698,-43687,338
1621585528606,1621585528736,130,15,1521,78477.0456447859,-111139,99
1621585528866,1621585528976,110,11,165,7263.87466218971,-6758,197
1621585529106,1621585529296,190,17,538,42032.8146381959,-47607,185
1621585529306,1621585529316,10,-1,44,2537.71866175679,-1,-1
1621585529386,1621585529396,10,-1,318,30864.5366683698,-1,-1
1621585529526,1621585529576,50,2,396,18435.1657034863,-27693,16
1621585529586,1621585529606,20,1,70,6198.38992939684,-1376,90
1621585529616,1621585529636,20,0,35,542.643052110721,-1,98
1621585529646,1621585529656,10,-1,38,972.378883308167,-1,-1
1621585529686,1621585529706,20,0,44,1857.4184060865,-1,81
1621585529726,1621585529736,10,-1,34,649.488154717808,-1,-1
1621585529746,1621585529845,99,12,174,6446.24181215018,-8257,0
1621585529855,1621585529925,70,4,76,4499.24738526065,-3396,216
1621585529985,1621585530035,50,10,411,19233.499973944,-18702,0
1621585530055,1621585530145,90,4,100,5098.78526714759,-3341,112
1621585530195,1621585530215,20,0,45,2317.92913721323,-1374,189
1621585530305,1621585530345,40,9,429,36451.3147635809,-21754,177
1621585530355,1621585530425,70,3,115,5001.34226180344,-4636,108
1621585530475,1621585530495,20,4,244,23979.737333199,-740,287
1621585530515,1621585530675,160,15,552,31927.8461805107,-25850,181
1621585530705,1621585530965,260,11,438,30386.0570748176,-39400,347
1621585533193,1621585533223,30,9,359,-1.0,-2573,190
1621585534872,1621585534882,10,-1,452,-1.0,-1,-1
1621585535432,1621585535472,40,4,147,-1.0,-4761,20
1621585535502,1621585535582,80,6,124,2726.40409554269,-2219,74
1621585535592,1621585535612,20,0,343,28573.0418565279,-1,284
1621585535932,1621585536012,80,5,243,13268.1188240686,-18502,353
1621585536072,1621585536082,10,-1,33,876.007155481705,-1,-1
1621585536152,1621585536182,30,1,80,5150.25567849924,-102,254
1621585536192,1621585536232,40,3,92,7853.3412882633,-5465,86
1621585536262,1621585536282,20,2,169,7005.45822510782,-1,259
1621585536292,1621585536301,9,-1,131,10672.9133620039,-1,-1
1621585536311,1621585536451,140,1,137,12991.4932555455,-10048,98
1621585536491,1621585536621,130,6,254,21538.4313451455,-21606,34
1621585536631,1621585536681,50,5,228,7214.98879153402,-14085,229
1621585536741,1621585536781,40,0,338,26161.0822104537,-11417,47
1621585536791,1621585536801,10,-1,350,34146.1691554051,-1,-1
1621585536811,1621585536821,10,-1,299,27209.6236588698,-1,-1
1621585536831,1621585536901,70,1,306,29524.4638649016,-18986,53
1621585537001,1621585537101,100,4,359,26879.3422799937,-14185,268
1621585537491,1621585537501,10,-1,39,2495.99837857424,-1,-1
1621585537621,1621585537641,20,1,155,8638.13634079227,-1,208
1621585537651,1621585537681,30,0,161,15050.2498008923,-11985,19
1621585537691,1621585537721,30,0,65,5437.72526183543,-2264,22
1621585537731,1621585537741,10,-1,41,1856.15967216551,-1,-1
1621585537751,1621585537901,150,4,207,14115.8413832537,-10056,150
1621585538330,1621585538430,100,3,702,8179.37550444088,-61745,299
1621585538630,1621585538650,20,2,404,-1.0,-28364,151
1621585538660,1621585538810,150,16,314,14068.9074893928,-11415,209
1621585538990,1621585539270,280,32,602,20757.0621001078,-24395,2
1621585539450,1621585539490,40,2,199,-1.0,-8701,265
1621585539500,1621585539520,20,1,82,7276.28680368596,-4470,95
1621585539629,1621585539669,40,4,177,10940.5640044883,-5553,133
1621585539739,1621585539799,60,5,701,21501.7330908371,-63479,241
1621585539819,1621585539829,10,-1,34,1195.856831816,-1,-1
1621585539839,1621585539999,160,2,460,38935.135016636,-40086,217
1621585540019,1621585540199,180,9,369,29362.3834219303,-22991,173
1621585540329,1621585540479,150,2,501,14366.4527173568,-39953,316
1621585540499,1621585540529,30,6,269,13535.2951164548,-14451,323
1621585541228,1621585541368,140,8,740,67942.8481450075,-55745,8
1621585541528,1621585541588,60,10,1155,72468.1742831723,-85712,259
1621585541718,1621585541738,20,0,42,3010.8585082807,-956,248
1621585541758,1621585541808,50,6,250,16678.8293101325,-1679,311
1621585541908,1621585541938,30,3,359,-1.0,-18850,257
1621585542028,1621585542078,50,0,183,13476.3802983106,-12673,164
1621585542118,1621585542148,30,2,99,4536.41455957507,-5124,226
1621585542208,1621585542348,140,8,370,29234.9440081172,-6197,179
1621585542398,1621585542438,40,1,285,18643.2567670602,-15858,64
1621585542598,1621585542638,40,3,115,6552.55584868359,-7568,263
1621585542708,1621585542867,159,13,361,21190.5030746877,-25946,227
1621585543247,1621585543307,60,48,2544,129596.520539477,-131015,42
1621585543567,1621585543647,80,0,129,5009.99256283193,-7970,180
1621585543687,1621585543817,130,7,248,19155.8764861893,-17715,339
1621585543827,1621585543857,30,2,123,7954.70665898974,-2578,65
1621585544037,1621585544107,70,7,251,11872.4710285339,-14383,158
1621585544217,1621585544227,10,-1,37,2538.36539080273,-1,-1
1621585544387,1621585544516,129,3,1137,109987.568822581,-45582,230
1621585544536,1621585544566,30,2,137,10798.5283429098,-2477,169
1621585544576,1621585544656,80,0,152,9873.75419232534,-11152,33
1621585544676,1621585544696,20,0,52,5022.58533915108,-1886,204
1621585544736,1621585544766,30,1,72,3457.75937477,-3270,82
1621585544796,1621585544976,180,17,475,32951.831790401,-33738,340
1621585545096,1621585545156,60,5,500,23298.0785506486,-374,36
1621585545166,1621585545236,70,0,212,13285.2649865429,-11331,119
1621585545316,1621585545356,40,3,224,16248.9270567905,-11025,183
1621585545486,1621585545516,30,1,227,17623.4943235962,-1,332
1621585545686,1621585545726,40,1,87,2791.20451925131,-8,239
1621585545776,1621585545786,10,-1,43,2850.35698927835,-1,-1
1621585546016,1621585546066,50,0,82,1852.33829747926,-1703,61
1621585546475,1621585546485,10,-1,42,2668.01103073442,-1,-1
1621585546635,1621585546725,90,4,172,12530.3315594442,-8384,138
1621585546735,1621585546745,10,-1,59,3007.29356954588,-1,-1
1621585546895,1621585546925,30,5,762,-1.0,-50599,230
1621585546995,1621585547035,40,1,97,6725.6831884339,-5140,276
1621585547135,1621585547195,60,17,627,60480.8703122885,-44501,19
1621585547455,1621585547555,100,0,113,6199.25531176256,-5442,146
1621585547575,1621585547595,20,1,164,11933.0396467376,-1,225
1621585547605,1621585547635,30,1,158,14861.3988096049,-9009,52
1621585547675,1621585547695,20,0,41,2384.99299301987,-1,75
1621585547874,1621585547904,30,1,202,2798.64474163022,-11442,141
1621585548094,1621585548124,30,8,357,11948.2429645232,-6339,299
1621585548164,1621585548184,20,0,62,4018.84339902816,-2482,123
1621585548314,1621585548484,170,21,390,20539.9149328242,-26559,186
1621585548494,1621585548504,10,-1,36,1394.55186354194,-1,-1
1621585548554,1621585548604,50,5,313,21979.7763472503,-17996,11
1621585548744,1621585548804,60,13,1422,56721.41262838,-64428,270
1621585548814,1621585548884,70,19,1926,190194.791284985,-96496,258
1621585548924,1621585549064,140,8,191,10668.0637648297,-14402,96
1621585549134,1621585549284,150,16,386,11651.1315278201,-11191,337
1621585549294,1621585549304,10,-1,37,1138.95434182804,-1,-1
1621585549334,1621585549373,39,1,48,2894.62387116297,-1731,279
1621585549384,1621585549523,139,2,343,21962.8455548308,-30671,169
1621585549583,1621585549623,40,3,96,4786.40271827536,-53,278
1621585549633,1621585549663,30,0,50,4184.79752234423,-1097,9
1621585549753,1621585549773,20,0,46,3164.98448216664,-1,211
1621585549943,1621585549963,20,0,52,4020.84310865487,-459,322
1621585550083,1621585550173,90,2,459,3496.28270922522,-26877,269
1621585550193,1621585550213,20,1,41,866.487003344552,-1,126
1621585550243,1621585550263,20,0,48,2396.52282110205,-1,34
1621585550273,1621585550313,40,3,163,9233.30453595559,-10064,329
1621585550343,1621585550573,230,11,1314,125851.403753576,-111341,168
1621585550593,1621585550603,10,-1,30,927.287391721549,-1,-1
1621585550613,1621585550623,10,-1,62,4523.4885882624,-1,-1
1621585550633,1621585550653,20,6,392,29604.3525400789,-1,218
1621585550753,1621585550973,220,29,1646,101123.037999837,-81440,69
1621585550983,1621585551292,309,11,452,36224.1638450587,-39584,243
1621585551482,1621585551522,40,3,104,21.1407430599863,-6099,159
1621585561216,1621585561236,20,4,376,33990.6516402748,-1,80
1621585566153,1621585566213,60,12,553,21665.4102146496,-37341,98
1621585566343,1621585566373,30,27,1396,9353.14524068074,-7474,109
1621585567073,1621585567133,60,8,581,19.2106827432461,-26917,277
1621585567143,1621585567183,40,14,579,27814.3267328754,-15914,199
1621585567293,1621585567323,30,11,551,-1.0,-1050,148
1621585567462,1621585567802,340,27,1309,89856.6377563525,-102256,117
1621585567842,1621585567902,60,1,1151,114164.357896003,-35071,225
1621585568712,1621585568802,90,20,700,34906.3260116818,-14084,256
1621585568992,1621585569111,119,18,663,39401.6319607719,-52384,21
1621585569211,1621585569311,100,17,822,66568.9578391763,-67448,215
1621585569451,1621585569471,20,1,113,48.6413474099791,-1,18
1621585569481,1621585569511,30,1,77,6706.75946971187,-2039,145
1621585569561,1621585569581,20,1,85,5243.59780453537,-1,270
1621585569751,1621585569821,70,6,314,9238.17116784811,-17740,316
1621585569971,1621585570061,90,7,926,89293.5442442752,-38877,70
1621585570071,1621585570281,210,11,340,19125.7130566987,-15649,6
1621585570291,1621585570311,20,1,94,7266.03349097908,-4045,313
1621585570361,1621585570441,80,14,492,22641.0835276205,-27987,157
1621585570650,1621585570680,30,3,219,-1.0,-15252,270
1621585570890,1621585570910,20,1,245,-1.0,-15201,49
1621585570920,1621585571010,90,4,207,14928.5218650208,-9164,267
1621585571030,1621585571080,50,10,447,22499.1217752093,-22357,5
1621585571100,1621585571170,70,6,222,9124.6752084505,-14113,220
1621585571180,1621585571190,10,-1,41,3093.10814273581,-1,-1
1621585571270,1621585571290,20,3,155,13841.2889034733,-1,59
1621585571340,1621585571350,10,-1,35,2536.71599101613,-1,-1
1621585571420,1621585571440,20,3,302,14478.1843151176,-1,209
1621585571590,1621585571650,60,0,133,9885.47430349351,-8383,198
1621585571660,1621585571670,10,-1,58,3948.67111372973,-1,-1
1621585571680,1621585571710,30,1,73,4308.47232285078,-1,55
1621585571800,1621585571870,70,0,108,5464.16137491414,-3455,265
1621585571880,1621585571900,20,0,31,1225.85847784737,-1,55
1621585571920,1621585572010,90,2,430,20162.050659382,-1,64
1621585572080,1621585572309,229,10,282,21470.2100507918,-20001,164
1621585572479,1621585572489,10,-1,434,-1.0,-1,-1
1621585572499,1621585572509,10,-1,53,2600.95270494867,-1,-1
1621585572519,1621585572549,30,1,62,2487.65164117494,-1749,92
1621585572749,1621585572809,60,4,314,15993.1251322046,-22126,353
1621585572869,1621585572959,90,13,340,22369.9244871902,-18612,348
1621585572979,1621585572989,10,-1,39,1060.51882042303,-1,-1
1621585572999,1621585573009,10,-1,83,6017.45859930091,-1,-1
1621585573019,1621585573039,20,0,83,7636.01206099799,-3809,57
1621585573569,1621585573579,10,-1,91,-1.0,-1,-1
