start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1622106132319,1622106132359,40,8,362,10743.4531450462,-30355,265
1622106133509,1622106133569,60,7,283,14705.0822937836,-14284,131
1622106133579,1622106133639,60,4,211,18422.4185573226,-9834,262
1622106133649,1622106133669,20,0,65,3804.52020623607,-3529,344
1622106133679,1622106133709,30,0,38,735.195500443722,-466,328
1622106133898,1622106133938,40,5,217,13124.1038228858,-12963,2
1622106134478,1622106134648,170,1,844,41038.6860626411,-38312,221
1622106134728,1622106134748,20,0,41,1349.5112550338,-594,203
1622106134758,1622106134768,10,-1,32,621.129980940209,-1,-1
1622106134778,1622106134818,40,1,44,1121.67576843416,-828,189
1622106134838,1622106134868,30,0,48,1298.88406043688,-1143,205
1622106134888,1622106134978,90,34,670,30532.6241515601,-23592,210
1622106135018,1622106135068,50,1,107,8688.93422128909,-2895,96
1622106135078,1622106135188,110,6,89,4016.69088485093,-3345,21
1622106135228,1622106135318,90,31,850,37938.0249079967,-27508,20
1622106135388,1622106135408,20,0,33,1762.87585732009,-1,171
1622106135687,1622106135827,140,37,598,28914.5643496888,-23921,201
1622106135947,1622106135967,20,0,38,965.783275500955,-597,326
1622106135987,1622106136087,100,36,562,19075.2990034951,-23728,21
1622106136367,1622106136417,50,5,162,9320.05952767619,-6287,221
1622106136567,1622106136627,60,0,424,33381.1566618894,-29362,300
1622106136717,1622106136767,50,10,541,42875.1177630191,-11688,164
1622106136807,1622106136827,20,2,106,9727.17014812131,-1,162
1622106136847,1622106136867,20,0,59,3981.27306830299,-2015,308
1622106136887,1622106136937,50,3,97,5614.39103848037,-3948,309
1622106136947,1622106137206,259,1,721,44319.0951229459,-42051,256
1622106137236,1622106137266,30,0,36,2377.4876277294,-170,50
1622106137276,1622106138226,950,21,820,56262.1845983779,-46329,178
1622106138236,1622106138486,250,23,312,19936.2325115372,-19070,5
1622106138496,1622106138516,20,0,54,2888.88097649079,-1,349
1622106138526,1622106138696,170,8,563,40107.7497791479,-29492,3
1622106138705,1622106139355,649,43,1777,108560.549660782,-74893,8
1622106139385,1622106139765,380,27,719,40634.330004842,-36622,182
1622106139775,1622106139885,110,13,213,9203.07430588484,-9063,295
1622106139925,1622106139945,20,0,50,1968.1113136508,-1,109
1622106139965,1622106140005,40,1,47,2018.24462535302,-620,137
1622106140025,1622106140105,80,1,94,5367.94981544334,-1748,59
1622106140125,1622106140255,130,35,785,34096.3781837158,-35348,177
1622106140275,1622106140754,479,11,884,85464.5646660362,-44762,56
1622106140844,1622106140964,120,5,413,28229.3118489931,-21256,280
1622106140974,1622106141044,70,4,625,59564.3845532977,-31373,184
1622106141194,1622106141214,20,0,85,-1.0,-5432,319
1622106141304,1622106141394,90,6,180,8720.39064062853,-9832,45
1622106141404,1622106141504,100,1,479,25548.6946802902,-39669,205
1622106141514,1622106141524,10,-1,52,4445.5478583061,-1,-1
1622106141544,1622106141554,10,-1,35,1073.8778242747,-1,-1
1622106141594,1622106141634,40,6,928,64035.2976735906,-33079,59
1622106141664,1622106141744,80,4,350,17842.2417088263,-25408,228
1622106141784,1622106141814,30,3,592,42401.0503298445,-25960,246
1622106141993,1622106142113,120,7,404,18097.9782738729,-34840,17
1622106142133,1622106142153,20,0,35,1120.45864519333,-1,156
1622106142223,1622106142303,80,1,273,8760.11198693934,-1,112
1622106142323,1622106142353,30,1,58,1866.29834585619,-2390,94
1622106142363,1622106142423,60,3,1055,62933.7133768353,-92721,286
1622106142443,1622106142463,20,1,68,3795.38394637669,-1,278
1622106142513,1622106142623,110,1,359,32376.0616937854,-32376,254
1622106142633,1622106142643,10,-1,48,2661.12141092196,-1,-1
1622106142783,1622106142863,80,9,186,6037.08296860451,-10633,172
1622106143053,1622106143153,100,4,337,20294.1496036433,-25394,220
1622106143193,1622106143213,20,0,32,2371.05460434369,-197,168
1622106143293,1622106143513,220,11,601,49957.6207391243,-17248,198
1622106143533,1622106143702,169,12,431,37662.4771648847,-42579,28
1622106143762,1622106143832,70,2,877,76069.3968392528,-32680,290
1622106143922,1622106143932,10,-1,33,1321.50625645722,-1,-1
1622106144032,1622106144212,180,1,403,18590.6483496222,-22178,117
1622106144222,1622106144252,30,3,190,8005.54112964604,-1,59
1622106144262,1622106144282,20,0,47,2254.04449792377,-1,63
1622106144302,1622106144402,100,4,191,9100.503453617,-12503,74
1622106144432,1622106144442,10,-1,30,1012.56615841072,-1,-1
1622106144552,1622106144572,20,3,163,14229.3946695763,-1,72
1622106144622,1622106144662,40,3,194,11358.1359442912,-14470,251
1622106144722,1622106144802,80,0,806,28681.5125305486,-49467,333
1622106144832,1622106144912,80,3,1994,180026.027452358,-181238,125
1622106144922,1622106145022,100,0,367,29922.5843897579,-27782,63
1622106145112,1622106145122,10,-1,40,1340.93348080543,-1,-1
1622106145251,1622106145291,40,9,409,19748.4562789268,-14948,270
1622106145301,1622106145341,40,6,999,71504.6464277758,-96639,51
1622106145481,1622106145561,80,7,337,17922.7266982062,-12005,234
1622106145591,1622106145611,20,1,366,29667.3855396072,-1,81
1622106145621,1622106145711,90,10,379,37210.3122933841,-21501,40
1622106145721,1622106145731,10,-1,40,1637.36914497732,-1,-1
1622106145761,1622106145801,40,1,56,3452.6569977489,-20,265
1622106145811,1622106145821,10,-1,74,6882.40769041737,-1,-1
1622106145911,1622106145981,70,1,336,14363.9595646594,-3213,334
1622106145991,1622106146011,20,0,60,4236.32577329789,-2582,111
1622106146501,1622106146541,40,4,170,8415.9596608051,-7634,113
1622106147090,1622106147230,140,2,435,30498.3866148614,-34625,131
1622106147880,1622106147920,40,2,119,8894.08536295826,-5159,48
1622106148410,1622106148499,89,4,112,3831.84298763901,-5795,291
1622106148609,1622106148729,120,1,576,30205.2578143723,-49887,53
1622106149179,1622106149209,30,1,70,3154.17602854622,-1848,248
1622106149509,1622106149619,110,7,538,22420.463643518,-34868,188
1622106149629,1622106149659,30,1,73,2855.16395620887,-1,274
1622106149699,1622106149809,110,7,440,21633.6771475187,-29473,300
1622106149929,1622106150078,149,9,320,20181.6062174345,-15786,97
1622106150178,1622106150238,60,1,265,22437.1242174492,-12737,92
1622106150268,1622106150358,90,21,595,33384.7878633818,-23126,7
1622106150378,1622106150438,60,5,114,2911.18096100818,-2610,172
1622106150448,1622106150778,330,6,1653,120334.204279175,-91323,280
1622106150788,1622106150948,160,9,767,42003.8720451883,-69884,179
1622106151018,1622106151997,979,1,914,67196.5669544264,-45779,158
1622106152007,1622106152117,110,2,211,17241.7725530011,-15764,172
1622106152277,1622106152317,40,1,147,7850.65033760871,-6110,90
1622106152537,1622106152577,40,2,96,4037.5156993285,-3259,338
1622106152697,1622106152847,150,7,491,44093.1644369808,-33539,3
1622106152857,1622106152867,10,-1,354,32953.8642580461,-1,-1
1622106152877,1622106153107,230,4,1511,65689.5423360695,-92874,211
1622106153117,1622106153277,160,3,441,37891.3106620443,-33442,265
1622106153307,1622106153346,39,7,329,16306.5329796271,-13389,82
1622106153356,1622106153386,30,3,363,32276.9395258137,-15347,266
1622106153396,1622106153456,60,4,322,31054.1622501494,-14565,175
1622106153506,1622106153536,30,6,301,25935.1424004789,-25376,215
1622106153556,1622106153576,20,1,229,13894.0639060255,-1,348
1622106153586,1622106153606,20,1,226,22364.3654926679,-15630,173
1622106153786,1622106153876,90,0,421,35286.794318933,-22821,261
1622106153896,1622106153936,40,3,374,34995.0499501725,-12074,82
1622106153946,1622106153956,10,-1,93,7159.22555374773,-1,-1
1622106153966,1622106153976,10,-1,34,2670.29484022466,-1,-1
1622106153996,1622106154126,130,8,682,51535.378582994,-29351,357
1622106154136,1622106154216,80,0,519,22221.1836969892,-41838,262
1622106154356,1622106154516,160,23,795,50301.0955118083,-32307,0
1622106154526,1622106154536,10,-1,50,4233.79494827541,-1,-1
1622106154546,1622106154716,170,11,274,15079.9077396704,-16715,217
1622106154746,1622106154955,209,12,236,17348.7819621379,-19126,188
1622106155165,1622106155185,20,0,33,1040.91496097842,-275,206
1622106155395,1622106155445,50,2,322,18298.2503026523,-21468,7
1622106155455,1622106155495,40,0,182,15949.1416739802,-10860,23
1622106155815,1622106155915,100,1,114,7326.19993889809,-5391,213
1622106155965,1622106156025,60,47,2320,224860.557742129,-3556,67
1622106156125,1622106156165,40,47,2304,216041.363462414,-49,249
1622106156185,1622106156205,20,1,87,7499.10573672689,-1870,110
1622106156245,1622106156265,20,0,43,2835.66675932893,-691,296
1622106156285,1622106156295,10,-1,32,1480.90164319864,-1,-1
1622106156495,1622106156604,109,8,424,26984.1077354711,-14608,106
1622106156724,1622106156734,10,-1,31,1393.31638503259,-1,-1
1622106156754,1622106156844,90,5,330,15846.7227580787,-14600,108
1622106156964,1622106157034,70,1,454,18590.6107626125,-42426,85
1622106157094,1622106157114,20,1,61,3032.84836441244,-1,113
1622106157124,1622106157144,20,0,44,2096.54149284248,-629,98
1622106157374,1622106157404,30,1,81,4740.09889114856,-4095,244
1622106157694,1622106157784,90,8,214,14902.4672171644,-8989,322
1622106157794,1622106157844,50,1,562,41997.791948018,-37778,228
1622106157944,1622106158094,150,0,1728,72418.3429139757,-44606,153
1622106158154,1622106158164,10,-1,43,3793.64505929044,-1,-1
1622106158173,1622106158283,109,10,442,20561.8684470778,-24477,207
1622106158323,1622106158353,30,1,83,4208.29300343264,-76,286
1622106158363,1622106158433,70,2,341,17669.9787529661,-17247,35
1622106158443,1622106158513,70,3,354,29681.265459476,-5048,121
