start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1622105384094,1622105384134,40,1,57,817.413700486598,-1521,75
1622105384144,1622105384174,30,9,760,36044.1204216387,-1,244
1622105384234,1622105384244,10,-1,299,-1.0,-1,-1
1622105384254,1622105384294,40,1,277,25247.6553358531,-12556,49
1622105384304,1622105384314,10,-1,39,1032.92519014834,-1,-1
1622105384334,1622105384374,40,2,67,3082.57809503943,-350,14
1622105384384,1622105384434,50,4,276,16456.831940428,-1,127
1622105384494,1622105384514,20,0,428,-1.0,-38875,109
1622105384524,1622105384634,110,7,155,8456.770819381,-8348,350
1622105384664,1622105384754,90,2,178,8528.90177123268,-13841,52
1622105384794,1622105384804,10,-1,42,1428.44687787045,-1,-1
1622105384814,1622105384883,69,24,553,24305.6209227992,-17503,160
1622105384943,1622105384953,10,-1,143,-1.0,-1,-1
1622105384973,1622105385013,40,4,138,8590.24875769931,-3942,342
1622105385093,1622105385173,80,4,139,5289.34691587502,-6252,10
1622105385233,1622105385433,200,13,115,2906.86118217753,-3340,354
1622105385493,1622105385563,70,14,907,35191.3703554019,-1680,102
1622105385663,1622105385693,30,11,824,-1.0,-24288,244
1622105385793,1622105385873,80,5,231,12539.1287095613,-2071,3
1622105385933,1622105385963,30,3,458,-1.0,-29442,228
1622105386093,1622105386113,20,1,171,11173.204468034,-1,18
1622105386123,1622105386153,30,1,184,16128.6882578577,-11646,201
1622105386363,1622105386383,20,1,76,2587.05106973354,-1,29
1622105386642,1622105386662,20,0,55,3019.28440657629,-2291,108
1622105386812,1622105386822,10,-1,30,1329.77028712293,-1,-1
1622105386882,1622105386892,10,-1,103,-1.0,-1,-1
1622105386902,1622105386922,20,1,70,2399.097936863,-1,272
1622105387192,1622105387212,20,3,390,-1.0,-11733,242
1622105387222,1622105387272,50,5,354,22665.7086934924,-27736,254
1622105387352,1622105387372,20,1,1264,-1.0,-118643,321
1622105387412,1622105387422,10,-1,68,4565.33344632803,-1,-1
1622105387482,1622105387502,20,1,116,-1.0,-4593,127
1622105387542,1622105387562,20,1,67,5465.20706324149,-512,85
1622105387572,1622105387652,80,10,201,11915.7347054355,-4393,100
1622105387802,1622105387972,170,18,2408,163517.825618307,-118718,321
1622105388052,1622105388101,49,2,956,-1.0,-81573,185
1622105388111,1622105388201,90,1,137,6032.94389503294,-8559,199
1622105388211,1622105388221,10,-1,56,4111.2816788272,-1,-1
1622105388231,1622105388251,20,1,117,8422.21986887256,-1,130
1622105388331,1622105388371,40,2,87,4618.34236937424,-1495,166
1622105388391,1622105388401,10,-1,98,7099.5497630826,-1,-1
1622105388461,1622105388541,80,2,62,1614.22356238851,-1255,158
1622105388611,1622105388671,60,8,378,24793.0474525141,-7790,213
1622105388731,1622105388771,40,0,112,4287.43252385407,-7780,122
1622105388781,1622105388801,20,1,209,12595.7721949129,-1,65
1622105388871,1622105388951,80,3,2151,188550.236320729,-199884,38
1622105389011,1622105389021,10,-1,109,-1.0,-1,-1
1622105389031,1622105389061,30,7,361,22629.1843807306,-1,8
1622105389121,1622105389171,50,5,260,-1.0,-14532,319
1622105389181,1622105389231,50,2,124,10625.0782385012,-5492,135
1622105389251,1622105389331,80,1,145,8514.00396371427,-9891,90
1622105389351,1622105389361,10,-1,33,856.407947667413,-1,-1
1622105389371,1622105389471,100,7,300,10070.4440850178,-15341,129
1622105389481,1622105389491,10,-1,43,4060.11213266083,-1,-1
1622105389561,1622105389611,50,3,231,8308.64767867569,-14748,24
1622105389621,1622105389641,20,8,571,47361.4294715842,-1,160
1622105389701,1622105389720,19,0,58,-1.0,-2225,142
1622105389740,1622105389750,10,-1,48,4293.95687782238,-1,-1
1622105389760,1622105389770,10,-1,244,21723.2050605009,-1,-1
1622105389780,1622105389790,10,-1,283,26736.3246061629,-1,-1
1622105389900,1622105389920,20,2,228,11281.3795362405,-1,339
1622105390080,1622105390090,10,-1,48,2048.01512871014,-1,-1
1622105390120,1622105390200,80,5,1636,157046.49660118,-131054,9
1622105390300,1622105390430,130,4,263,7108.33887574605,-8245,232
1622105390450,1622105390480,30,1,74,2819.1338556563,-618,139
1622105390600,1622105390610,10,-1,30,378.742578585144,-1,-1
1622105390710,1622105390770,60,0,49,2485.72102844246,-876,239
1622105390830,1622105390850,20,0,85,-1.0,-3784,167
1622105390910,1622105390930,20,0,51,3559.93849957711,-1084,150
1622105390960,1622105391020,60,2,77,3972.37689413574,-3333,162
1622105391040,1622105391090,50,3,113,4591.37031342985,-1,143
1622105391100,1622105391120,20,0,72,5078.37655951315,-37,313
1622105391130,1622105391200,70,13,358,20959.444085278,-5217,104
1622105391260,1622105391290,30,5,335,-1.0,-18241,262
1622105391310,1622105391319,9,-1,31,352.772296846047,-1,-1
1622105391339,1622105391349,10,-1,43,1987.44999591413,-1,-1
1622105391409,1622105391459,50,1,57,23.6568366531785,-1641,257
1622105391549,1622105391589,40,3,145,6942.51489651349,-8428,252
1622105391689,1622105391699,10,-1,110,9531.34543659625,-1,-1
1622105391709,1622105391749,40,0,159,15392.7838290605,-11650,159
1622105391809,1622105391819,10,-1,51,-1.0,-1,-1
1622105391829,1622105391839,10,-1,39,3192.28233554967,-1,-1
1622105391879,1622105391909,30,0,40,1573.81604655554,-31,305
1622105392049,1622105392059,10,-1,34,1468.00133178933,-1,-1
1622105392099,1622105392169,70,3,91,3459.61242112816,-5079,310
1622105392319,1622105392349,30,2,97,5402.35462890806,-791,65
1622105392429,1622105392469,40,3,152,7430.84733235244,-7041,102
1622105392749,1622105392759,10,-1,47,-1.0,-1,-1
1622105392988,1622105392998,10,-1,31,2060.51889497721,-1,-1
1622105393008,1622105393018,10,-1,30,2013.97556754764,-1,-1
1622105393608,1622105393718,110,9,137,6626.58643059437,-5420,269
1622105393728,1622105393758,30,1,143,8034.48338088512,-1,129
1622105393818,1622105393898,80,3,192,6118.66217736484,-12481,294
1622105393918,1622105393958,40,8,395,37195.7346084197,-17150,94
1622105394098,1622105394148,50,4,243,5825.97859544835,-12196,188
1622105394388,1622105394438,50,6,477,33675.7270868234,-11395,183
1622105394498,1622105394508,10,-1,1338,-1.0,-1,-1
1622105395647,1622105395857,210,14,772,39798.1556246629,-26277,82
1622105395947,1622105395977,30,6,665,-1.0,-35734,95
1622105396067,1622105396107,40,7,372,202.914359470066,-21185,325
1622105396177,1622105396236,59,7,233,8831.72725748748,-10567,21
1622105396316,1622105396346,30,13,621,1714.65063280575,-43669,344
1622105396596,1622105396626,30,7,370,1036.39823263533,-1,119
1622105396636,1622105396666,30,2,353,23903.1935014713,-1,354
1622105396726,1622105396746,20,3,313,8259.81208036729,-1,6
1622105396756,1622105396876,120,7,417,30347.0462684444,-25388,36
1622105396896,1622105396926,30,7,367,17486.6641998872,-14540,210
1622105397026,1622105397036,10,-1,102,-1.0,-1,-1
1622105397096,1622105397106,10,-1,67,5666.97154779042,-1,-1
1622105397166,1622105397176,10,-1,33,-1.0,-1,-1
1622105397226,1622105397236,10,-1,486,46322.7721163214,-1,-1
1622105397296,1622105397356,60,8,835,34379.3462037512,-10,33
1622105397456,1622105397536,80,14,563,23041.2530164655,-29517,133
1622105397596,1622105397686,90,35,2242,109059.918979561,-134587,161
1622105397945,1622105397955,10,-1,40,1687.03026587943,-1,-1
1622105398035,1622105398065,30,0,690,395.38752039178,-65854,137
1622105398135,1622105398155,20,0,30,868.893637358313,-1,136
1622105398225,1622105398255,30,0,45,1056.71965949562,-1,283
1622105398325,1622105398355,30,36,1778,173847.214933826,-173721,118
1622105398625,1622105398685,60,47,1984,190117.688018069,-160149,230
1622105398845,1622105398915,70,8,326,7896.51383922846,-12867,274
1622105398925,1622105398935,10,-1,81,6648.41876009409,-1,-1
1622105399035,1622105399055,20,0,107,-1.0,-6537,0
1622105399075,1622105399145,70,9,295,16455.1141532824,-9420,216
1622105399514,1622105399674,160,20,1215,88063.038752511,-92405,97
1622105399904,1622105399924,20,2,1587,-1.0,-150351,299
1622105400044,1622105400054,10,-1,38,2977.94229763343,-1,-1
1622105400154,1622105400184,30,1,58,2535.75490259941,-882,135
1622105400194,1622105400214,20,0,34,1128.85601651425,-420,69
1622105400224,1622105400244,20,0,54,4067.91671298363,-1,233
1622105400274,1622105400284,10,-1,47,3582.76137510277,-1,-1
1622105400344,1622105400434,90,8,357,13360.0990444541,-22170,344
1622105400614,1622105400634,20,0,55,2634.75464285321,-1,72
