start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621584731073,1621584731093,20,0,48,3264.82424924269,-1,65
1621584732113,1621584732263,150,29,334,15584.5739948147,-9111,8
1621584732273,1621584732323,50,4,123,10174.9233375067,-7211,192
1621584732333,1621584732502,169,24,425,18120.0546292604,-24129,184
1621584732522,1621584732562,40,1,41,1303.14826326795,-265,152
1621584732592,1621584732602,10,-1,44,1471.628161077,-1,-1
1621584732722,1621584732812,90,33,640,27513.0915795731,-10437,334
1621584732942,1621584733072,130,23,584,37073.7321368092,-45067,151
1621584733082,1621584733162,80,11,347,16939.3246753064,-17064,189
1621584733172,1621584733212,40,0,219,19700.550029744,-13868,225
1621584733242,1621584733422,180,16,307,10688.0745657439,-10079,81
1621584733432,1621584733472,40,0,124,9934.32922185881,-4506,68
1621584733482,1621584733622,140,2,734,65757.9508577875,-30545,135
1621584733632,1621584733662,30,4,222,10947.9380774846,-16377,224
1621584734092,1621584734601,509,5,919,41879.0480608777,-49305,108
1621584734641,1621584734671,30,2,158,13158.4448923081,-7656,289
1621584734751,1621584734871,120,14,1315,45935.0314462219,-123440,186
1621584735011,1621584735191,180,28,798,50983.7791474046,-36968,37
1621584735251,1621584735271,20,0,46,2355.55990972381,-1575,170
1621584735431,1621584735451,20,0,38,754.498440651837,-1,229
1621584735481,1621584735521,40,4,180,9239.67367450535,-8979,336
1621584735541,1621584735571,30,1,62,3146.09295356936,-2457,221
1621584735621,1621584735731,110,26,487,23930.3075119743,-19901,206
1621584735791,1621584735801,10,-1,41,2824.24781813491,-1,-1
1621584735910,1621584735980,70,4,137,9640.70139586531,-8598,216
1621584735990,1621584736000,10,-1,43,3028.06702944224,-1,-1
1621584736030,1621584736060,30,0,71,6148.41374921445,-2503,67
1621584736070,1621584736110,40,1,64,2758.5123013986,-2485,69
1621584736130,1621584736150,20,0,37,911.250012992571,-1,43
1621584736360,1621584736390,30,2,112,7160.51568328027,-6784,43
1621584736680,1621584736740,60,8,216,8856.55982548241,-5776,324
1621584736750,1621584736780,30,0,39,1121.22645863742,-251,254
1621584736930,1621584736980,50,0,617,23390.4423907057,-2507,90
1621584737010,1621584737060,50,1,73,3340.76261475924,-4347,71
1621584737110,1621584737130,20,1,96,7217.84234012459,-4216,80
1621584737180,1621584737210,30,2,100,6173.37945051311,-3806,29
1621584737430,1621584737450,20,0,59,3371.25008171593,-1,167
1621584737619,1621584737699,80,13,317,13404.3849581103,-13074,358
1621584737889,1621584737899,10,-1,40,2103.11443995367,-1,-1
1621584737939,1621584737949,10,-1,32,336.323773961781,-1,-1
1621584737959,1621584737979,20,0,43,2051.59292919224,-627,20
1621584738139,1621584738169,30,0,41,1882.60566500906,-1101,169
1621584738289,1621584738379,90,14,1998,82705.088513902,-193407,182
1621584738709,1621584738829,120,34,452,26297.6272886774,-17326,194
1621584738859,1621584738899,40,1,65,2152.50727561121,-7,124
1621584738909,1621584739118,209,43,1396,120103.400442641,-97034,8
1621584739168,1621584739178,10,-1,30,1030.10506144569,-1,-1
1621584739268,1621584739278,10,-1,50,3016.73947614197,-1,-1
1621584739338,1621584739368,30,0,38,1246.5917444061,-135,172
1621584739378,1621584739388,10,-1,94,7173.07650491179,-1,-1
1621584739668,1621584739738,70,5,217,8439.2950406256,-8760,180
1621584739748,1621584739758,10,-1,30,801.629145810377,-1,-1
1621584739768,1621584739798,30,0,49,1615.58238887441,-1104,251
1621584739808,1621584739918,110,20,643,33166.4828215415,-51780,142
1621584739988,1621584740028,40,2,1881,177917.540944094,-184021,242
1621584740038,1621584740048,10,-1,35,1021.27352501156,-1,-1
1621584740108,1621584740138,30,0,43,1140.13079200414,-1316,120
1621584740198,1621584740258,60,2,225,11205.1516062993,-14323,80
1621584740288,1621584740308,20,0,38,3295.79509832233,-567,71
1621584740338,1621584740358,20,0,40,2073.64962145292,-1,70
1621584740398,1621584740468,70,2,70,3363.89412956481,-2559,26
1621584740488,1621584740578,90,10,994,72748.0240955823,-10063,179
1621584740698,1621584741077,379,22,376,14062.2534649637,-18435,341
1621584741087,1621584741097,10,-1,39,1087.28061544107,-1,-1
1621584741107,1621584741187,80,2,185,14397.0686775584,-8740,160
1621584741197,1621584741237,40,1,60,3725.26423172377,-2798,301
1621584741287,1621584741297,10,-1,48,2739.02198272662,-1,-1
1621584741587,1621584741697,110,19,334,14063.3305689099,-7312,354
1621584741707,1621584741797,90,5,101,7016.61302899359,-5221,228
1621584741807,1621584741857,50,5,241,11767.043617101,-11798,134
1621584741877,1621584741937,60,2,264,17964.6257349488,-22149,242
1621584742027,1621584742237,210,18,409,18740.6956069063,-20370,194
1621584742337,1621584742347,10,-1,36,1183.77456507577,-1,-1
1621584742456,1621584742496,40,2,81,2553.3970579746,-4733,333
1621584742516,1621584742556,40,1,74,2922.58144347481,-2646,3
1621584742736,1621584742796,60,6,114,263.277672051194,-4634,319
1621584742826,1621584742856,30,10,455,24327.446029757,-22514,138
1621584742866,1621584742976,110,8,444,21188.3464629192,-23957,4
1621584743106,1621584743166,60,6,190,8941.60232458936,-5343,334
1621584743296,1621584743486,190,8,877,35628.3751408023,-81307,161
1621584743596,1621584744015,419,32,464,36207.886346903,-37517,190
1621584744185,1621584744255,70,2,947,87424.8242106669,-33750,32
1621584744285,1621584744305,20,10,505,48918.3363757692,-1887,73
1621584744355,1621584744365,10,-1,39,1655.90982851731,-1,-1
1621584744425,1621584744515,90,5,301,24048.9755572268,-23773,313
1621584744525,1621584744535,10,-1,54,2507.64668903679,-1,-1
1621584744735,1621584744865,130,4,98,5063.78285906105,-5043,111
1621584744895,1621584744935,40,0,95,4839.10708155521,-127,102
1621584745005,1621584745095,90,3,177,12406.6791919065,-14128,298
1621584745105,1621584745135,30,0,186,16993.4777186867,-14891,301
1621584745145,1621584745285,140,8,582,48561.6860770618,-45302,136
1621584745375,1621584745435,60,6,255,19783.8572813002,-22462,307
1621584745475,1621584745485,10,-1,48,2428.919688362,-1,-1
1621584745525,1621584745555,30,0,61,4805.88544361905,-2292,31
1621584745605,1621584745664,59,1,98,8015.75959077447,-5432,70
1621584745764,1621584745784,20,0,59,2861.28500649791,-1,245
1621584745884,1621584745904,20,2,119,10358.3918506335,-124,248
1621584746184,1621584746294,110,4,268,23210.5945140438,-12661,143
1621584746304,1621584746344,40,3,272,20893.313455288,-16687,108
1621584746354,1621584746394,40,3,313,17473.6988686728,-343,96
1621584746534,1621584746614,80,9,297,15591.7812114134,-21112,118
1621584746814,1621584746904,90,10,403,-1.0,-12476,296
1621584746944,1621584747274,330,10,336,27552.0272599432,-13171,4
1621584747363,1621584747443,80,1,249,22892.2196000364,-16384,327
1621584747513,1621584747733,220,27,534,40393.3364266996,-16090,187
1621584747743,1621584747803,60,2,230,13884.9587445831,-14779,284
1621584747853,1621584747863,10,-1,31,493.434306143929,-1,-1
1621584747883,1621584747923,40,1,118,10659.7038768723,-3493,113
1621584747943,1621584747953,10,-1,48,2922.16798254092,-1,-1
1621584747963,1621584748013,50,1,49,1795.39575247202,-761,345
1621584748073,1621584748163,90,13,366,25082.2901532435,-11720,334
1621584748233,1621584748243,10,-1,38,1126.25180120861,-1,-1
1621584748483,1621584748543,60,10,357,15775.9337994189,-12174,164
1621584748553,1621584748793,240,20,707,41912.965476881,-36310,6
1621584748823,1621584748843,20,2,94,8751.35011117936,-106,291
1621584748903,1621584748982,79,12,383,17911.9144290928,-22966,180
1621584749042,1621584749122,80,0,135,4700.35834874383,-10242,213
1621584749162,1621584749182,20,1,133,9060.82450578209,-1,212
1621584749202,1621584749222,20,3,243,14097.1431676465,-1,23
1621584749372,1621584749402,30,6,333,-1.0,-20201,2
1621584749492,1621584749562,70,3,192,10535.0476471286,-12479,318
1621584749662,1621584749702,40,1,40,1026.02113403776,-641,151
1621584749922,1621584749972,50,1,157,10887.9061398623,-10207,192
1621584750022,1621584750052,30,0,179,15788.4273459564,-12633,248
1621584750062,1621584750092,30,1,126,11516.2145946542,-3311,172
1621584750102,1621584750112,10,-1,183,17232.2149765584,-1,-1
1621584750122,1621584750192,70,1,336,28831.1052423177,-21045,352
