start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621583988639,1621583988649,9,-1,94,-1.0,-1,-1
1621583988659,1621583988679,20,1,95,8097.63372693435,-4177,60
1621583988699,1621583988729,30,0,43,743.545821677421,-1,81
1621583988739,1621583988749,10,-1,41,1288.77541867016,-1,-1
1621583988779,1621583988799,20,0,52,2350.12220384718,-1,207
1621583988809,1621583988819,10,-1,41,2948.10184579466,-1,-1
1621583988829,1621583988879,50,1,51,2206.24981534175,-1966,53
1621583988929,1621583988949,20,0,59,2120.86139747677,-1,67
1621583989099,1621583989109,10,-1,32,1202.97126339364,-1,-1
1621583989159,1621583989179,20,0,57,4308.58115208627,-2011,70
1621583989349,1621583989359,10,-1,41,2653.25539744589,-1,-1
1621583989389,1621583989409,20,1,61,3293.20193366941,-1,226
1621583989489,1621583989509,20,0,38,2773.33414456308,-1,116
1621583989549,1621583989569,20,1,97,9380.16001501017,-919,105
1621583989609,1621583989639,30,1,91,5795.75021277044,-6130,253
1621583989719,1621583989769,50,0,214,8500.865293197,-1492,18
1621583989909,1621583989929,20,1,69,5955.68116658251,-1,79
1621583990019,1621583990119,100,2,107,6004.92431375473,-6002,20
1621583990189,1621583990209,20,0,53,3606.54722743103,-1,82
1621583990219,1621583990249,30,0,53,3524.92668860552,-2209,194
1621583990298,1621583990328,30,1,55,2902.55391899997,-2291,103
1621583990358,1621583990448,90,16,1141,98428.8059040175,-45074,47
1621583990748,1621583990758,10,-1,302,-1.0,-1,-1
1621583990858,1621583991098,240,19,462,26231.4161813515,-23091,122
1621583991238,1621583991548,310,23,826,48204.3372455594,-53578,255
1621583991558,1621583991698,140,11,345,17529.6488690395,-21545,42
1621583991728,1621583991788,60,0,931,77290.5768217872,-69115,294
1621583991878,1621583991898,20,4,240,22243.6967039231,-403,276
1621583991977,1621583992167,190,13,552,16086.6255737278,-25238,54
1621583992187,1621583992207,20,0,76,4971.69381516228,-1773,246
1621583992227,1621583992287,60,9,263,12645.9993465976,-8250,90
1621583992327,1621583992347,20,1,89,4660.64598145288,-1,91
1621583992527,1621583992617,90,16,605,38512.4957150353,-29811,339
1621583992827,1621583992887,60,3,460,37790.089206099,-14,77
1621583992987,1621583993087,100,12,434,11645.3289498465,-17380,252
1621583993107,1621583993127,20,0,37,960.755624453661,-1,90
1621583993217,1621583993317,100,26,528,38504.0183005612,-15522,165
1621583993377,1621583993497,120,3,248,10548.839157163,-17651,251
1621583993537,1621583993597,60,14,857,38946.7700132887,-1,75
1621583993806,1621583994316,510,25,701,41244.2076901551,-36829,192
1621583994406,1621583994646,240,36,672,27257.1186305685,-16594,359
