start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621841243846,1621841243896,49,1,55,1386.9425445952,-1401,193
1621841243916,1621841243926,10,-1,33,541.771325918557,-1,-1
1621841243936,1621841243976,40,1,102,6529.2404749047,-7132,213
1621841243986,1621841244036,50,1,40,2553.81860129314,-739,259
1621841244166,1621841244206,40,1,40,873.821898557846,-653,210
1621841244236,1621841244256,20,0,33,253.536251031579,-1,141
1621841244286,1621841244296,10,-1,32,751.353739025934,-1,-1
1621841244316,1621841244576,260,20,586,17574.9037397404,-26745,3
1621841244586,1621841244596,10,-1,44,1529.65093559409,-1,-1
1621841244606,1621841244626,20,0,54,4920.82630919698,-2356,156
1621841244636,1621841244696,60,4,226,10364.8076776579,-14996,175
1621841244706,1621841244896,190,25,503,21908.2398010022,-21818,166
1621841244906,1621841245126,220,13,776,55219.1792462837,-22994,296
1621841245805,1621841245865,60,9,355,22480.8459145394,-18999,96
1621841246145,1621841246165,20,0,54,3196.5687106677,-901,292
1621841246245,1621841246365,120,27,1736,112061.969323318,-133944,199
1621841246385,1621841246405,20,1,83,4082.38347421522,-1,175
1621841246425,1621841246435,10,-1,125,9797.28831414804,-1,-1
1621841246445,1621841246465,20,2,197,16826.5328436097,-7445,11
1621841246475,1621841246505,30,1,45,1300.04243778829,-1495,2
1621841246525,1621841246585,60,3,208,16126.9268626604,-12966,24
1621841246605,1621841246675,70,3,179,15303.5666214779,-12751,54
1621841246725,1621841246755,30,0,36,2699.26022655132,-273,26
1621841246765,1621841246855,90,13,290,17479.240235643,-14614,170
1621841246865,1621841246875,10,-1,88,6070.35198100633,-1,-1
1621841246885,1621841246925,40,3,149,5000.49061418192,-9873,346
1621841246935,1621841246945,10,-1,346,32447.692486937,-1,-1
1621841246955,1621841246995,40,1,413,38559.2552733043,-36064,324
1621841247005,1621841247015,10,-1,36,2417.55078511943,-1,-1
1621841247025,1621841247065,40,1,51,1469.86236584536,-575,321
1621841247084,1621841247184,99,2,265,13139.6856915191,-4536,240
1621841247284,1621841247374,90,12,1367,3616.46483014541,-66098,326
1621841247384,1621841247614,230,22,221,14793.2923356114,-13970,126
1621841247744,1621841247814,70,2,49,1766.18528351129,-1230,280
1621841247844,1621841247854,10,-1,34,1528.25580764711,-1,-1
1621841247864,1621841247954,90,8,300,18552.9588670671,-13976,120
1621841248134,1621841248174,40,4,212,15051.3692285751,-13565,126
1621841248204,1621841248214,10,-1,49,3838.20358655071,-1,-1
1621841248314,1621841248354,40,4,199,10294.5338031459,-8299,22
1621841248843,1621841248873,30,1,76,5629.57871973219,-4597,1
1621841249223,1621841249253,30,2,116,6186.64102000976,-4452,194
1621841249383,1621841249723,340,8,241,13950.6320016058,-12900,284
1621841250023,1621841250153,130,7,89,3095.46202074567,-2153,273
1621841250163,1621841250193,30,0,34,247.352900556013,-1,278
1621841250263,1621841250273,10,-1,32,1123.02772426485,-1,-1
1621841250283,1621841250402,119,6,77,1631.67846319314,-1805,103
1621841250442,1621841250472,30,1,81,3916.97285251059,-2871,17
1621841250512,1621841250562,50,1,39,1308.75169291139,-525,266
1621841250592,1621841250642,50,2,58,1935.80291740572,-1628,257
1621841251652,1621841251712,60,15,402,22580.0499700026,-12277,159
