start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621840563712,1621840563802,90,2,369,14449.6137341615,-18663,48
1621840563812,1621840563902,90,0,632,52755.5238983583,-48897,270
1621840563922,1621840563972,50,6,338,23305.0797409281,-24075,171
1621840564112,1621840564162,50,4,214,13539.8314768446,-15614,44
1621840564182,1621840564412,230,3,402,27180.0715163602,-28928,264
1621840564422,1621840564602,180,39,474,16282.0637702124,-9712,154
1621840564612,1621840564661,49,4,133,3393.29339425575,-1783,334
1621840564721,1621840565201,480,28,1618,135534.816773366,-131101,252
1621840565391,1621840565541,150,41,1533,93542.3826870033,-79060,97
1621840565701,1621840565711,10,-1,511,-1.0,-1,-1
1621840566031,1621840566041,10,-1,611,-1.0,-1,-1
1621840566111,1621840566270,159,28,2372,225259.476393149,-170933,46
1621840566300,1621840566510,210,12,1507,80243.3770403608,-117520,195
1621840566520,1621840566580,60,3,175,11206.0980854939,-7948,46
1621840566620,1621840566900,280,7,1557,95179.4129129393,-120500,130
1621840568719,1621840568729,10,-1,1730,-1.0,-1,-1
1621840568839,1621840568879,40,20,1088,42396.7338956044,-54834,164
1621840569159,1621840569259,100,24,2162,106206.184913782,-127928,316
1621840569339,1621840569479,140,44,2342,74565.3943842201,-205681,186
1621840569788,1621840569848,60,8,140,407.754945321668,-5051,198
1621840569898,1621840569988,90,2,1681,167205.040885669,-63515,112
1621840570038,1621840570118,80,16,616,59260.4061347894,-58339,139
1621840570318,1621840570328,10,-1,378,-1.0,-1,-1
1621840570598,1621840571138,540,37,2215,121873.343171069,-172041,148
1621840571207,1621840571697,490,20,3142,230256.037546495,-178525,322
1621840571707,1621840571817,110,25,1133,81173.0670359084,-106285,143
1621840572347,1621840572357,10,-1,1048,-1.0,-1,-1
1621840572437,1621840572447,10,-1,195,-1.0,-1,-1
1621840572467,1621840572477,10,-1,30,902.259318089852,-1,-1
1621840572487,1621840572587,100,1,410,27741.0476066388,-15706,347
1621840572617,1621840572667,50,1,44,1020.14797328793,-571,283
1621840572717,1621840572876,159,20,1255,111496.363789656,-105715,80
1621840572886,1621840572976,90,10,168,8070.90975877472,-3049,92
1621840572986,1621840573026,40,3,125,11443.7960385824,-6802,267
1621840573036,1621840573096,60,22,1374,112882.294323877,-1,281
1621840573136,1621840573246,110,3,44,689.527991593938,-515,114
1621840573336,1621840573356,20,0,32,2059.76809134371,-101,53
1621840573386,1621840573396,10,-1,31,968.203512095427,-1,-1
1621840573716,1621840573736,20,0,51,2467.51154571874,-1159,287
1621840573776,1621840573906,130,3,356,25830.4966317939,-24522,321
1621840573936,1621840573966,30,0,85,4581.73921058234,-439,96
1621840574106,1621840574136,30,1,77,4243.1111263936,-1846,90
1621840574156,1621840574176,20,1,54,3580.04783306442,-61,267
1621840574206,1621840574246,40,6,356,33471.2299912942,-25364,67
1621840574386,1621840574406,20,0,34,1599.27897286311,-1,303
1621840574615,1621840574695,80,5,393,34083.9733531084,-23042,243
1621840574825,1621840574965,140,1,386,29860.9925472044,-34290,166
1621840575235,1621840575375,140,0,408,28661.9395908916,-27758,327
1621840575775,1621840575815,40,5,430,19302.6771023752,-1,159
1621840575985,1621840576054,69,24,1614,69013.340388145,-137959,140
1621840576134,1621840576184,50,4,371,30281.3081630525,-11767,134
1621840576434,1621840576994,560,15,912,82659.2372658674,-88184,316
1621840577044,1621840577124,80,1,273,24813.1638448689,-11107,59
1621840577134,1621840577204,70,14,472,26310.9125141729,-22402,174
1621840577264,1621840577624,360,12,732,27606.236914144,-62130,201
1621840577634,1621840577654,20,1,94,7135.18761862168,-3084,130
1621840577664,1621840577753,89,6,212,14239.713181697,-10479,331
1621840577763,1621840577773,10,-1,36,1442.80182978677,-1,-1
1621840577783,1621840577803,20,0,99,6262.70359530741,-1,344
1621840577813,1621840577953,140,33,1119,43526.8006347413,-28683,88
1621840578013,1621840578373,360,7,756,58923.2360440989,-62415,10
1621840578383,1621840578403,20,0,93,5578.0862624786,-1,117
1621840578443,1621840578463,20,0,65,4242.22954034078,-2259,266
1621840578473,1621840578703,230,10,565,41744.9251425018,-52228,61
1621840578713,1621840579283,570,10,1925,131640.301210133,-121820,225
1621840579293,1621840579362,69,19,1088,114558.661647831,-101717,267
1621840579392,1621840579792,400,19,1275,71509.5169141866,-98452,212
1621840579812,1621840579952,140,6,1786,171795.314591104,-128942,157
1621840579962,1621840580182,220,18,1474,115716.972587817,-78397,189
1621840580212,1621840580232,20,8,343,33158.2328817618,-623,73
1621840580332,1621840580342,10,-1,31,1162.61732356607,-1,-1
1621840580352,1621840580382,30,17,837,51684.9721243135,-1,11
1621840580582,1621840580652,70,5,429,17598.0157986784,-1,241
1621840580712,1621840580822,110,7,616,7465.24063336551,-50560,202
1621840580832,1621840581001,169,23,637,36303.5371788838,-26377,164
1621840581011,1621840581041,30,1,80,5939.59720171126,-1966,282
1621840581051,1621840581081,30,1,63,4752.74128907982,-2634,78
1621840581091,1621840581101,10,-1,33,2428.20608295189,-1,-1
1621840581131,1621840581231,100,6,479,44722.6386565423,-23392,23
1621840581311,1621840581371,60,3,149,8563.76107286964,-8494,241
1621840581531,1621840581571,40,5,244,23427.5390866998,-13972,18
1621840581581,1621840581661,80,14,348,15434.3995172677,-12162,308
1621840581671,1621840581701,30,1,51,2754.47424124569,-1513,352
1621840581711,1621840581721,10,-1,35,1005.89919231392,-1,-1
1621840581751,1621840581771,20,0,38,3104.80236559763,-1,122
1621840581831,1621840581871,40,7,311,15054.8603873564,-13255,122
1621840581901,1621840582091,190,29,1024,80631.118407231,-74412,172
1621840582101,1621840582151,50,8,371,30802.5211385737,-22862,310
1621840582341,1621840582421,80,25,659,31959.5218138085,-20743,334
1621840582431,1621840582491,60,24,872,86084.1399322047,-45934,65
1621840582551,1621840582591,40,23,1101,105822.126036146,-97984,244
1621840582610,1621840582620,10,-1,38,2688.98584450914,-1,-1
1621840582650,1621840582800,150,11,315,27458.6606284144,-26777,132
1621840582810,1621840582860,50,6,1068,87874.9856806962,-98192,287
1621840582920,1621840582940,20,4,212,20194.3026650908,-1,249
1621840583020,1621840583030,10,-1,31,332.838246457535,-1,-1
1621840583040,1621840583070,30,4,213,19177.2917814214,-13966,80
1621840583090,1621840583180,90,15,1045,103416.546234188,-98773,75
1621840583190,1621840583410,220,3,1741,128922.333745873,-85293,73
1621840583620,1621840583670,50,14,382,542.072538287346,-17782,287
1621840583740,1621840583930,190,0,1616,135717.297926869,-145830,115
1621840584010,1621840584299,289,8,1314,95201.2125019981,-106431,211
1621840584309,1621840584419,110,12,1556,142945.65107198,-39748,96
1621840584429,1621840584469,40,1,61,3553.08261473879,-2611,212
1621840584489,1621840584519,30,12,1247,60864.1143690503,-1,101
1621840584529,1621840584719,190,11,2091,121871.868209472,-139995,243
1621840584729,1621840584779,50,4,1031,90666.2029335253,-11474,131
1621840584929,1621840585359,430,19,2283,185372.310370833,-195028,327
1621840585649,1621840585719,70,19,984,97203.8373398136,-93155,185
1621840585898,1621840585958,60,16,1748,155516.180342564,-55256,27
1621840586168,1621840586178,10,-1,539,-1.0,-1,-1
1621840586308,1621840586498,190,14,1297,18757.3748836069,-59935,101
1621840586658,1621840587028,370,8,554,38785.4262954884,-29905,355
1621840587038,1621840587118,80,1,334,31682.5021873868,-19894,119
1621840587128,1621840587168,40,1,61,2164.74874328998,-1041,187
1621840587188,1621840587278,90,4,381,27751.427230992,-30507,205
1621840587288,1621840587418,130,6,340,22298.0654086976,-16632,317
1621840587428,1621840587448,20,2,333,32457.7646514931,-21606,328
1621840587477,1621840587657,179,6,559,42212.5966300968,-47664,161
1621840587707,1621840587747,40,8,378,27576.6877966654,-25089,302
1621840587817,1621840587837,20,0,35,743.866410160099,-1,161
1621840587847,1621840588097,250,9,1045,89879.9219699727,-49195,9
1621840588197,1621840588657,460,41,1775,119418.66954812,-114446,240
1621840588667,1621840588707,40,2,139,11956.6021262616,-6024,206
1621840588727,1621840589067,340,8,1374,125397.731867631,-128284,347
1621840589156,1621840589296,140,20,1938,117401.441899073,-121313,98
1621840589306,1621840589386,80,10,474,24552.8691171511,-23732,235
1621840589406,1621840589466,60,3,106,5227.80082609723,-3210,193
1621840589816,1621840589986,170,22,1533,97130.4478589017,-140114,213
1621840590116,1621840590246,130,36,1363,131394.602415369,-116617,301
1621840592384,1621840592394,9,-1,2407,-1.0,-1,-1
1621840592524,1621840592554,30,5,249,-1.0,-495,8
1621840593594,1621840593604,10,-1,2481,-1.0,-1,-1
1621840594913,1621840594923,10,-1,710,-1.0,-1,-1
1621840595043,1621840595053,10,-1,1591,-1.0,-1,-1
1621840595453,1621840595493,40,6,314,-1.0,-11659,192
1621840595503,1621840595603,100,39,2332,204204.052900277,-218538,149
1621840595622,1621840595642,20,20,1022,100064.882800602,-1,262
1621840595692,1621840595802,110,29,1327,80529.8783134725,-93310,74
1621840595812,1621840595862,50,17,928,54836.0822315459,-56339,295
1621840595872,1621840595882,10,-1,472,46757.29489295,-1,-1
1621840595972,1621840596002,30,4,460,-1.0,-22264,242
1621840596102,1621840596212,110,36,947,3616.71574903745,-23229,286
1621840596242,1621840596292,50,20,1024,51882.262210783,-97304,90
1621840596392,1621840596402,10,-1,1277,-1.0,-1,-1
1621840596492,1621840596542,50,6,325,-1.0,-12050,258
1621840596622,1621840596642,20,3,287,-1.0,-1237,56
1621840596752,1621840596792,40,4,271,-1.0,-9446,261
1621840596802,1621840596892,90,12,1015,58971.9457670003,-13078,157
1621840596952,1621840597281,329,21,1303,88102.1755461957,-92057,338
1621840597361,1621840597391,30,14,623,58640.8191598313,-56071,251
1621840597431,1621840597441,10,-1,31,489.553668056373,-1,-1
1621840597991,1621840598071,80,31,1255,11885.1103284302,-41263,179
1621840598131,1621840598221,90,29,1967,151591.579742735,-21893,35
1621840598781,1621840598801,20,7,623,31712.338916081,-1,129
1621840599100,1621840599170,70,23,1043,95645.3470327155,-91306,268
1621840599230,1621840599250,20,0,1273,119865.839607065,-1,214
1621840599310,1621840599400,90,6,693,29779.7931961158,-60038,11
1621840599480,1621840599560,80,28,1213,116776.306758182,-2421,6
1621840599630,1621840599730,100,13,1242,91926.4166184891,-95982,260
1621840599740,1621840599760,20,2,94,8643.67287133708,-1392,140
1621840599800,1621840599820,20,1,81,3898.20241333292,-1,315
1621840599850,1621840599870,20,9,1281,84568.6171345174,-1,51
1621840599950,1621840600110,160,11,1624,125660.209622221,-152002,130
1621840600280,1621840600300,20,1,156,-1.0,-1765,341
1621840600310,1621840600510,200,0,658,48185.42426527,-24483,141
1621840600520,1621840600599,79,7,703,68096.3793997698,-34161,312
1621840600679,1621840601289,610,18,1710,163534.587092319,-148909,325
1621840601299,1621840601819,520,14,1884,174345.813850365,-130206,279
1621840601859,1621840601879,20,0,37,3395.32197053674,-640,308
1621840602059,1621840602248,189,41,2121,128240.126784423,-107734,191
1621840602258,1621840602338,80,6,177,9920.19490646788,-7961,41
1621840602348,1621840602478,130,3,1189,111771.788385208,-111373,292
1621840602498,1621840602538,40,32,1576,102074.92381454,-1,58
1621840602648,1621840602688,40,2,73,-1.0,-2326,170
1621840602698,1621840602778,80,28,993,54301.863558399,-72624,254
1621840602788,1621840603038,250,17,1065,91644.2946618635,-79970,101
1621840603048,1621840603058,10,-1,337,31363.6489669113,-1,-1
1621840603068,1621840603088,20,0,371,34756.5880759716,-34025,171
1621840603138,1621840603158,20,21,1042,100987.993048483,-1,255
