start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621597361809,1621597361869,60,4,111,6262.85395105998,-4349,217
1621597361909,1621597361959,50,4,145,5651.76822019465,-4122,35
1621597363348,1621597363378,30,5,333,13648.0929071636,-1,146
1621597363488,1621597363528,40,10,463,-1.0,-14765,200
1621597363678,1621597364088,410,21,491,43492.4539738601,-36713,17
1621597364098,1621597364378,280,18,130,7885.96555586837,-7541,0
1621597364388,1621597364458,70,22,902,57434.225917007,-50482,187
1621597364547,1621597364817,270,16,487,39244.8500173196,-42362,348
1621597364827,1621597364877,50,6,244,13379.4568622412,-10003,264
1621597364887,1621597365067,180,15,224,14980.7199718406,-14157,5
1621597365077,1621597365357,280,20,730,64060.926558937,-36262,148
1621597365377,1621597365577,200,13,459,18473.6951613375,-14660,250
1621597365587,1621597365737,150,4,348,21518.4986405742,-23856,355
1621597365747,1621597365777,30,1,88,6195.40294072563,-3225,169
1621597365797,1621597365847,50,3,126,7186.98154222089,-7617,351
1621597365867,1621597365887,20,0,52,2862.85604500717,-2147,288
1621597365937,1621597365967,30,0,76,4829.30732607244,-3087,56
1621597365997,1621597366047,50,5,207,10290.0947611137,-7650,72
1621597366057,1621597366067,10,-1,48,2997.69127919478,-1,-1
1621597366077,1621597366087,10,-1,145,14032.7489826536,-1,-1
1621597366097,1621597366107,10,-1,101,8484.87384025052,-1,-1
1621597366196,1621597366206,10,-1,32,1978.09547904255,-1,-1
1621597366286,1621597366306,20,0,39,1584.39374566162,-1,286
1621597366496,1621597366526,30,0,38,1167.69080622803,-863,3
1621597366566,1621597366586,20,0,50,2331.0217580558,-1,289
1621597366596,1621597366646,50,1,50,2713.07811056533,-514,356
1621597366656,1621597366906,250,14,391,34421.9760021873,-20420,219
1621597367226,1621597367386,160,14,343,17026.5094584965,-19824,32
1621597367406,1621597367606,200,34,1091,89483.3497102348,-75779,348
1621597367616,1621597367835,219,12,180,16544.3062140491,-13442,193
1621597367875,1621597367915,40,1,48,1388.58665234243,-602,195
1621597367945,1621597367985,40,1,43,1256.32523660688,-576,226
1621597367995,1621597368085,90,15,296,7555.22667118459,-9950,104
1621597368115,1621597368145,30,0,77,6100.85104267058,-2818,263
1621597368245,1621597368675,430,12,947,83042.0361078397,-76452,328
1621597368735,1621597368765,30,0,53,2375.86582083912,-1,197
1621597368775,1621597368785,10,-1,34,588.719366185965,-1,-1
1621597368805,1621597368975,170,9,1006,47469.644348687,-3135,77
1621597369115,1621597369275,160,7,669,4576.74419287067,-36158,242
1621597369295,1621597369345,50,2,209,15252.6477920724,-8214,163
1621597369385,1621597369425,40,7,303,16534.2209324268,-314,348
1621597369984,1621597369994,10,-1,336,-1.0,-1,-1
1621597370154,1621597370634,480,41,1074,86725.0392521843,-103812,188
1621597370704,1621597370794,90,5,135,4771.09084298236,-5557,328
1621597371014,1621597371064,50,3,123,7020.38480316256,-6133,196
1621597371203,1621597371213,10,-1,31,548.280884518312,-1,-1
1621597371243,1621597371293,50,2,69,3010.55813585587,-2148,8
1621597371643,1621597371673,30,1,52,2596.48157501341,-1879,200
1621597371693,1621597371713,20,0,47,3254.1441444956,-1164,245
1621597371813,1621597371823,10,-1,42,2776.96195588949,-1,-1
1621597371833,1621597371843,10,-1,38,1713.60564855265,-1,-1
1621597371863,1621597371923,60,4,145,5921.87376117859,-7092,258
1621597372033,1621597372053,20,0,47,3567.59170051795,-1270,53
1621597372173,1621597372193,20,0,35,1281.41644184014,-130,15
1621597372533,1621597372553,20,0,34,2186.72434193459,-1,71
1621597372673,1621597372693,20,0,49,2967.68356197981,-1345,45
1621597372723,1621597372763,40,2,106,5633.52534509924,-5666,3
1621597372813,1621597372882,69,2,54,1695.68307594122,-996,27
1621597372912,1621597372922,10,-1,33,446.780036782143,-1,-1
1621597372942,1621597373002,60,6,199,6976.09985814649,-7897,15
1621597373012,1621597373022,10,-1,30,291.801037484518,-1,-1
1621597373122,1621597373162,40,1,65,3280.98568000753,-2859,321
1621597373482,1621597373512,30,1,128,6809.7885812134,-1,140
1621597373632,1621597373702,70,21,1958,2373.98307672343,-84912,226
1621597373932,1621597373962,30,1,77,4329.5194744591,-1777,352
1621597374072,1621597374082,10,-1,31,864.071380693062,-1,-1
1621597374162,1621597374222,60,10,441,23864.776178058,-22107,13
1621597374232,1621597374252,20,0,34,363.248860610542,-1,45
1621597374322,1621597374342,20,0,35,1979.18039357923,-1,74
1621597374372,1621597374382,10,-1,35,2302.78509729319,-1,-1
1621597374392,1621597374491,99,12,927,77984.8516463191,-55768,194
1621597374571,1621597374581,10,-1,44,3531.96768885944,-1,-1
1621597374591,1621597374601,10,-1,31,1264.07429932001,-1,-1
1621597374671,1621597374801,130,17,555,24163.4947242389,-27807,344
1621597374831,1621597374861,30,1,83,3259.70665206628,-1,155
