start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621847839533,1621847839683,150,23,580,23482.3617283406,-32465,242
1621847839693,1621847839723,30,0,45,616.288942625532,-1,32
1621847839733,1621847839993,260,6,1204,63465.8803966202,-72221,174
1621847840003,1621847840013,10,-1,30,236.364367518888,-1,-1
1621847840043,1621847840123,80,2,51,1810.23850665496,-1929,38
1621847840243,1621847840313,70,12,842,47721.8840410402,-69809,158
1621847840363,1621847840723,360,1,513,21147.4821515046,-21418,347
1621847840743,1621847840793,50,3,299,23960.0478239279,-17629,205
1621847840873,1621847841272,399,17,981,58831.1462477719,-55952,17
1621847841282,1621847841332,50,1,44,1200.18981542102,-1349,187
1621847841362,1621847841532,170,16,483,16925.9383094578,-15268,197
1621847841662,1621847841672,10,-1,39,2978.48977608524,-1,-1
1621847841682,1621847842002,320,39,508,24182.8351743651,-19837,6
1621847842132,1621847842352,220,10,440,16025.4739416861,-28594,252
1621847842362,1621847842911,549,27,1536,147204.879086862,-101389,149
1621847843001,1621847843221,220,21,483,30155.8516998698,-34586,235
1621847843241,1621847843291,50,3,241,11712.9706665272,-1,198
1621847843451,1621847843601,150,18,301,13276.0362743014,-15454,4
1621847843611,1621847843641,30,2,110,8247.5262537347,-6590,7
1621847843651,1621847843671,20,0,36,1944.61576683512,-1,22
1621847843681,1621847843771,90,6,2049,180167.794382415,-185159,191
1621847843871,1621847844161,290,32,1059,7526.88692152894,-84946,11
1621847844201,1621847844231,30,0,43,1198.37685821649,-711,312
1621847844371,1621847844421,50,5,192,9063.39707380863,-7620,150
1621847844581,1621847844640,59,15,442,19995.9792466445,-17173,211
1621847844660,1621847844700,40,0,57,2381.40947167618,-1951,71
1621847844710,1621847844800,90,3,115,7192.60745369439,-6281,323
1621847844810,1621847844830,20,0,42,2264.93779912317,-1176,33
1621847844900,1621847844950,50,1,65,3500.7325440596,-2500,32
1621847845080,1621847845090,10,-1,35,2606.60607452317,-1,-1
1621847845140,1621847845160,20,0,62,2849.59393240739,-1,270
1621847845190,1621847845210,20,1,116,8651.43268245536,-1,91
1621847845460,1621847845530,70,16,428,21300.2902615286,-11898,23
