start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621935693012,1621935693042,30,0,47,2287.82465399571,-574,79
1621935693182,1621935693192,10,-1,45,1628.07390514012,-1,-1
1621935693262,1621935693782,520,27,2275,200743.185051823,-162344,201
1621935693802,1621935693852,50,3,69,3399.59460088951,-1876,52
1621935693872,1621935693982,110,4,80,5622.11763199271,-4842,328
1621935693992,1621935694082,90,15,430,17932.0869972842,-20403,74
1621935694112,1621935694132,20,0,35,1610.03496797112,-38,254
1621935694142,1621935694242,100,3,52,2274.62671999744,-1172,279
1621935694252,1621935694272,20,0,59,2863.42359547646,-1,304
1621935694282,1621935694342,60,20,572,28647.4113477312,-18961,30
1621935694402,1621935694422,20,0,33,2198.65824428899,-212,158
1621935694681,1621935695191,510,21,1176,66181.4249362528,-61976,210
1621935695231,1621935695241,10,-1,34,2446.38018269444,-1,-1
1621935695261,1621935695271,10,-1,43,2603.31748909525,-1,-1
1621935695281,1621935695321,40,0,70,4459.79969925206,-1374,10
1621935695431,1621935695511,80,8,249,13740.4942143543,-11794,39
1621935695551,1621935695561,10,-1,30,668.424154223678,-1,-1
1621935695601,1621935695611,10,-1,45,1679.43687446781,-1,-1
1621935695691,1621935696021,330,23,722,36663.0056142008,-39439,74
1621935696041,1621935696061,20,0,47,1256.94366324411,-1,245
1621935696081,1621935696111,30,1,51,2061.08982326458,-2082,194
1621935696150,1621935696520,370,34,1962,173655.17245299,-66447,232
1621935696530,1621935696610,80,2,363,14023.7718393988,-32089,55
1621935696630,1621935696660,30,0,46,1207.2638262583,-1,12
1621935696960,1621935696990,30,1,63,4221.43632616721,-1663,92
1621935697000,1621935697010,10,-1,39,2416.3050233318,-1,-1
1621935697050,1621935697060,10,-1,30,236.650028018556,-1,-1
1621935697100,1621935697150,50,1,140,7874.26531336944,-7604,110
1621935697210,1621935697220,10,-1,31,1499.19504174948,-1,-1
1621935697310,1621935697330,20,0,35,640.52247651867,-1,315
1621935697350,1621935697420,70,5,136,10340.7671862181,-5647,96
1621935697430,1621935697460,30,0,46,2577.94702343537,-299,10
1621935697470,1621935697540,70,3,95,5109.52047455733,-4170,340
1621935697590,1621935697640,50,3,167,7493.86660235716,-8207,79
1621935697730,1621935697849,119,14,286,13419.6410808163,-10720,280
1621935697889,1621935697919,30,2,123,6329.41972642611,-6658,69
1621935697959,1621935697989,30,3,154,8274.16911352059,-4319,77
1621935697999,1621935698009,10,-1,51,3926.74937477384,-1,-1
1621935698019,1621935698029,10,-1,32,1260.67358922138,-1,-1
1621935698049,1621935698069,20,0,66,3732.57093682029,-1,74
1621935698079,1621935698109,30,1,86,4442.37542472778,-653,86
1621935698289,1621935698309,20,1,57,3189.76117634147,-1,78
1621935698339,1621935698369,30,1,91,4428.81095993676,-2043,255
1621935698699,1621935698769,70,2,385,35256.6944138753,-14899,88
1621935698779,1621935698809,30,1,120,9129.20587059876,-4361,233
1621935698839,1621935698879,40,1,63,1765.26732591523,-3097,109
1621935699379,1621935699389,10,-1,34,669.181195016157,-1,-1
1621935699518,1621935699548,30,0,55,2175.08835912158,-65,75
1621935699588,1621935699618,30,1,72,2592.44565585028,-3364,265
1621935699698,1621935699708,10,-1,35,2407.12841617275,-1,-1
1621935699818,1621935699828,10,-1,41,2308.6920636854,-1,-1
