start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621937576154,1621937576184,30,2,134,5208.21027584713,-7049,41
1621937576204,1621937576224,20,4,334,16545.0715733053,-1,211
1621937576354,1621937576374,20,2,236,612.613332011844,-1,61
1621937576433,1621937576493,60,2,358,13011.5991063518,-29597,250
1621937576573,1621937576603,30,7,397,4742.81704401795,-1,239
1621937576613,1621937576623,10,-1,105,8011.74370396069,-1,-1
1621937576703,1621937576713,10,-1,61,-1.0,-1,-1
1621937576733,1621937576773,40,1,154,7875.30902189579,-615,24
1621937577023,1621937577043,20,6,600,10699.5722309572,-1,167
1621937577133,1621937577193,60,2,275,11071.1754966953,-3259,335
1621937577253,1621937577263,10,-1,259,-1.0,-1,-1
1621937577283,1621937577463,180,10,350,21015.7620707337,-26138,359
1621937577543,1621937577613,70,6,502,31829.1797315209,-34378,355
1621937577793,1621937577843,50,5,262,11732.4137905675,-17120,197
1621937577903,1621937578043,140,20,1519,107831.171521746,-107112,338
1621937578122,1621937578232,110,4,1810,103527.228116738,-54483,351
1621937578352,1621937578372,20,2,402,-1.0,-31878,158
1621937578392,1621937578422,30,3,118,6665.46116261287,-4454,180
1621937578512,1621937578592,80,1,105,4650.82520543347,-4347,245
1621937578602,1621937578632,30,1,67,2034.48726094442,-1,209
1621937578772,1621937578852,80,3,1478,137695.593266844,-38710,28
1621937578912,1621937578922,10,-1,257,-1.0,-1,-1
1621937579002,1621937579012,10,-1,37,-1.0,-1,-1
1621937579202,1621937579382,180,16,923,24281.3038288003,-54850,339
1621937579442,1621937579512,70,1,158,10239.7742261866,-12447,181
1621937579522,1621937579582,60,5,169,10995.9071189854,-10091,357
1621937579592,1621937579671,79,4,105,3382.08564804312,-2905,235
1621937579741,1621937579761,20,0,151,-1.0,-11958,191
1621937579771,1621937579791,20,1,272,18864.5519698164,-1,158
1621937579861,1621937579991,130,41,1426,86711.4432526868,-55617,207
1621937580031,1621937580051,20,2,262,13197.209015135,-1,47
1621937580121,1621937580151,30,0,39,7.79888830923099,-1,173
1621937580161,1621937580191,30,1,55,3396.07785159585,-797,275
1621937581251,1621937581470,219,11,1462,75174.1617275313,-114714,234
1621937581610,1621937581630,20,13,1193,71400.9207990717,-1,289
1621937582480,1621937582610,130,40,807,18316.8192610553,-30113,6
1621937582670,1621937582760,90,3,294,22463.9549813777,-9986,199
1621937582840,1621937582899,59,6,452,40731.5614663868,-25615,332
1621937582959,1621937583039,80,4,207,11805.1740307093,-11497,178
1621937583119,1621937583199,80,5,500,16500.090694281,-34157,260
1621937583259,1621937583479,220,7,733,48004.2407329195,-10313,172
1621937583809,1621937583899,90,2,318,16921.3364273012,-24912,169
1621937583969,1621937583989,20,1,125,-1.0,-6881,209
1621937584259,1621937584269,10,-1,31,-1.0,-1,-1
1621937584319,1621937584329,10,-1,31,2606.29542989151,-1,-1
