start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621934315782,1621934315801,19,0,37,2310.06278125806,-1,156
1621934316021,1621934316171,150,0,168,8336.33354952272,-11609,26
1621934316181,1621934316191,10,-1,48,2330.97050852545,-1,-1
1621934316201,1621934316241,40,1,64,2838.89996716709,-2958,334
1621934316251,1621934316301,50,3,112,6478.31685641615,-5410,277
1621934316921,1621934316951,30,2,92,2689.1219240325,-1255,130
1621934317680,1621934317800,120,14,385,22708.2237083292,-26936,184
1621934318800,1621934318950,150,5,420,32427.9258596218,-35444,5
1621934318970,1621934319150,180,9,935,89247.1952275437,-47947,33
1621934319189,1621934319349,160,2,181,9568.81658100163,-12248,315
1621934319359,1621934319389,30,1,82,5991.55051349175,-2401,94
1621934319429,1621934319449,20,3,150,14151.5770287146,-1273,77
1621934319509,1621934319519,10,-1,32,2573.88552309287,-1,-1
1621934319599,1621934319649,50,3,122,4101.92492549825,-4588,353
1621934319679,1621934319939,260,20,286,13468.3683683354,-11976,181
1621934319949,1621934320129,180,5,146,8496.24660190595,-8173,263
1621934320209,1621934320269,60,9,354,16045.0546150981,-15357,48
1621934320339,1621934320549,210,1,176,8016.72680009893,-6553,22
1621934320559,1621934320569,10,-1,61,5496.89756665726,-1,-1
1621934320649,1621934320679,30,5,255,22670.5795005859,-22454,235
1621934320829,1621934320858,29,2,118,6234.85633733142,-6871,191
1621934320948,1621934320968,20,4,208,17597.8933240461,-1,98
1621934321028,1621934321048,20,0,92,3958.66548456254,-1,343
1621934321058,1621934321078,20,0,89,7715.91809481844,-5037,147
1621934321088,1621934321208,120,6,287,23461.4162143304,-19909,254
1621934321268,1621934321318,50,3,149,8587.16239179651,-7338,94
1621934321368,1621934321388,20,0,37,3428.25877751903,-310,233
1621934321738,1621934321748,10,-1,95,-1.0,-1,-1
1621934322677,1621934322707,30,4,217,-1.0,-3660,9
1621934322717,1621934322907,190,18,260,14410.3025826934,-8746,169
1621934322947,1621934323117,170,5,694,57548.3926884678,-65502,171
1621934323157,1621934323167,10,-1,36,2322.34735212445,-1,-1
1621934323207,1621934323287,80,11,426,34810.3038611244,-29114,169
1621934323297,1621934323307,10,-1,116,9994.54122301348,-1,-1
1621934323317,1621934323337,20,0,72,4671.8018206453,-3847,209
1621934323427,1621934323447,20,3,177,16119.9292509579,-1,268
1621934323487,1621934323507,20,4,240,19612.9306271664,-1,94
1621934323547,1621934323567,20,3,305,14856.0073906642,-1,314
1621934323637,1621934323647,10,-1,200,-1.0,-1,-1
1621934323667,1621934323717,50,4,140,5472.03913678518,-2228,205
1621934323857,1621934323907,50,18,685,-1.0,-47536,303
1621934323917,1621934323977,60,1,136,9677.6581221981,-9264,289
1621934324007,1621934324037,30,4,199,15926.2870180647,-14695,168
1621934324127,1621934324137,10,-1,241,21286.9663034028,-1,-1
1621934324147,1621934324217,70,1,258,24200.2151590232,-21772,4
1621934324227,1621934324246,19,5,286,26001.2429161662,-18187,79
1621934324257,1621934324267,10,-1,330,30721.3572932783,-1,-1
1621934324326,1621934324376,50,2,581,54173.5580927201,-33406,319
1621934324456,1621934324466,10,-1,56,-1.0,-1,-1
1621934324486,1621934324556,70,2,213,10993.9108061108,-17726,40
1621934324566,1621934324686,120,2,249,20649.842758867,-21494,183
1621934324696,1621934324716,20,1,341,26141.5066550038,-1,60
1621934324876,1621934325016,140,4,238,5556.5434675263,-10787,10
1621934325046,1621934325066,20,0,37,1946.95749804277,-26,8
1621934325076,1621934325126,50,3,156,7987.45817833871,-6446,350
1621934325136,1621934325216,80,11,1521,88977.5360289951,-13620,88
1621934325376,1621934325496,120,9,327,15236.852888186,-20865,244
1621934325556,1621934325666,110,1,762,19314.9920290576,-36632,280
1621934325746,1621934325756,10,-1,32,632.968272289931,-1,-1
1621934325796,1621934325806,10,-1,33,1208.80508997059,-1,-1
1621934325876,1621934325936,60,3,82,3946.38743658418,-3055,312
1621934326045,1621934326135,90,11,1006,46231.5931000733,-569,118
1621934326195,1621934326245,50,14,844,8246.19372204223,-36100,331
1621934326305,1621934326315,10,-1,91,-1.0,-1,-1
1621934326345,1621934326355,10,-1,35,644.267652970672,-1,-1
1621934326365,1621934326405,40,1,37,450.231073997966,-339,329
1621934326625,1621934326645,20,1,68,5803.66074766986,-108,50
1621934326655,1621934326675,20,0,36,704.159682284388,-499,20
1621934326685,1621934326735,50,8,318,14587.046071902,-16877,354
1621934326865,1621934326895,30,2,131,5733.31043333019,-6738,204
1621934326915,1621934327015,100,5,71,3318.94165709343,-2207,207
1621934327025,1621934327055,30,0,32,679.443400721533,-73,180
1621934327095,1621934327145,50,8,217,12913.7380108991,-8025,161
1621934327245,1621934327295,50,2,109,7900.96061167284,-4083,22
1621934327305,1621934327325,20,1,81,4089.29975777654,-1,316
1621934327355,1621934327385,30,1,50,2429.24900321992,-1,20
1621934327495,1621934327525,30,7,446,25768.967653312,-1,43
1621934327794,1621934327914,120,18,389,19999.4915749903,-13893,231
1621934327924,1621934328074,150,14,173,13207.9633839574,-4730,184
1621934328114,1621934328254,140,21,1099,58362.5528318925,-4350,87
1621934328374,1621934328574,200,31,825,53242.4882692237,-51692,8
1621934328584,1621934328604,20,0,79,5212.97636004121,-27,164
1621934328614,1621934328784,170,2,176,8900.39403278706,-9892,284
1621934328844,1621934328874,30,0,43,889.889621335284,-822,321
1621934329004,1621934329084,80,17,799,58789.5048818037,-60051,2
1621934329114,1621934329184,70,2,50,2542.05315797751,-935,159
1621934329204,1621934329284,80,2,47,981.562125189168,-788,213
1621934329343,1621934329383,40,1,54,1526.90312811583,-1,215
1621934329393,1621934329453,60,2,85,4582.37007928624,-3400,185
1621934329483,1621934329493,10,-1,35,1897.80115549946,-1,-1
1621934329513,1621934329523,10,-1,32,1578.11210768968,-1,-1
1621934329663,1621934329733,70,7,242,12229.7989424846,-12843,2
1621934329803,1621934329913,110,7,86,4659.37073552876,-2708,111
1621934330493,1621934330503,10,-1,30,657.623915747612,-1,-1
1621934330983,1621934331002,19,0,57,3134.44151184976,-970,157
1621934331432,1621934331512,80,7,130,7180.31550105793,-3127,78
1621934331622,1621934331662,40,3,143,9186.53934900713,-9362,97
1621934331832,1621934331842,10,-1,33,1160.94791616489,-1,-1
1621934331882,1621934331922,40,2,101,5007.04970064094,-5635,248
1621934332202,1621934332212,10,-1,35,1518.05100381548,-1,-1
1621934332232,1621934332252,20,6,931,61800.9319812424,-1,157
1621934332362,1621934332412,50,3,386,2041.51024934133,-27343,301
1621934332971,1621934332981,10,-1,41,2188.3497828259,-1,-1
1621934333041,1621934333051,10,-1,207,-1.0,-1,-1
1621934333081,1621934333091,10,-1,32,736.845106795857,-1,-1
1621934333251,1621934333271,20,0,60,2596.82805708738,-1,323
1621934333331,1621934333341,10,-1,74,-1.0,-1,-1
1621934333381,1621934333391,10,-1,39,2366.58582649785,-1,-1
1621934333411,1621934333421,10,-1,53,3023.38412997169,-1,-1
1621934333481,1621934333491,10,-1,32,-1.0,-1,-1
1621934333531,1621934333571,40,2,150,8498.52294949267,-1,92
1621934333641,1621934333661,20,0,60,4237.61809743555,-982,111
1621934333711,1621934333721,10,-1,44,3744.28596310924,-1,-1
1621934333781,1621934333851,70,6,213,17566.9596430789,-9730,270
1621934333921,1621934333961,40,5,295,-1.0,-17003,150
1621934334031,1621934334041,10,-1,189,-1.0,-1,-1
1621934334051,1621934334101,50,1,80,5289.97826727748,-4329,71
1621934334191,1621934334251,60,4,226,4593.9854221192,-13358,279
1621934334281,1621934334311,30,4,194,10278.3982238092,-9952,27
1621934334390,1621934334580,189,15,258,19477.444539118,-7919,194
1621934334650,1621934334700,50,1,38,1894.93514145824,-170,296
1621934335410,1621934335420,10,-1,31,-1.0,-1,-1
1621934335680,1621934335720,40,2,77,2551.96554881755,-189,212
1621934335930,1621934335960,30,3,173,163.131432253212,-1,155
1621934336050,1621934336060,10,-1,293,-1.0,-1,-1
1621934337559,1621934337579,20,1,82,3650.42020674093,-1,58
1621934337589,1621934337619,30,2,88,4641.54278301745,-2654,300
1621934337639,1621934337669,30,1,240,16266.4136185138,-1,271
1621934337679,1621934337709,30,1,332,30751.1915027105,-28493,345
1621934337739,1621934337818,79,2,234,15754.3509330873,-12715,72
1621934337828,1621934338098,270,8,273,14860.9417533196,-15485,195
1621934338308,1621934338358,50,2,59,1644.75925012914,-1,63
1621934338368,1621934338378,10,-1,42,2403.41425743795,-1,-1
1621934338438,1621934338538,100,4,298,25095.7642104327,-20382,148
1621934338548,1621934338618,70,3,119,9347.36257208258,-4341,333
1621934338628,1621934338678,50,1,88,5151.71834692318,-4373,350
1621934338688,1621934338698,10,-1,33,1153.85594486597,-1,-1
1621934338728,1621934338738,10,-1,35,1320.94405035832,-1,-1
1621934338758,1621934338768,10,-1,38,2053.7804886557,-1,-1
1621934338778,1621934338818,40,0,69,4252.44683145009,-3740,133
1621934338888,1621934339038,150,2,253,19250.2892492444,-16225,139
1621934339148,1621934339168,20,2,136,-1.0,-2775,18
1621934339188,1621934339238,50,5,274,14383.2263185965,-15045,343
1621934339398,1621934339438,40,1,63,684.659709185567,-2421,136
1621934339447,1621934339467,19,1,44,3266.74146018382,-1,101
1621934339547,1621934339557,10,-1,39,2144.69716746455,-1,-1
1621934339567,1621934339577,10,-1,175,15348.0130018662,-1,-1
1621934339587,1621934339597,10,-1,190,16507.646384478,-1,-1
1621934339657,1621934339727,70,2,395,1654.73090397716,-35410,340
1621934339757,1621934339767,10,-1,30,687.237662396128,-1,-1
1621934339777,1621934339787,10,-1,34,1015.12843351441,-1,-1
1621934340107,1621934340147,40,6,609,40252.433086563,-8880,359
1621934340357,1621934340407,50,1,38,1066.78291416769,-527,212
1621934340417,1621934340527,110,6,83,2618.43045060369,-2207,224
1621934340667,1621934340837,170,6,346,11766.9625643321,-16721,148
1621934340897,1621934340957,60,3,71,3431.53623771101,-2139,144
1621934340987,1621934341027,40,1,50,1144.06817473961,-1476,154
1621934341356,1621934341406,50,8,327,-1.0,-14463,93
1621934341426,1621934341526,100,4,64,3720.31249829611,-1596,275
1621934341606,1621934341836,230,22,704,32701.4059082965,-24064,313
1621934341846,1621934341856,10,-1,31,1124.11837651514,-1,-1
1621934341896,1621934341916,20,0,50,3238.51978360642,-1,352
1621934341966,1621934342016,50,10,272,13761.0925317255,-9407,321
1621934342026,1621934342046,20,1,98,8002.0633481829,-3510,245
1621934342056,1621934342116,60,4,80,3657.36874981536,-1771,142
1621934342176,1621934342206,30,3,203,60.6641316805252,-7564,220
1621934342346,1621934342386,40,1,40,284.908342017186,-1068,142
1621934342766,1621934342816,50,3,361,16470.0635738623,-2432,68
1621934342875,1621934342915,40,2,290,-1.0,-21425,181
1621934342945,1621934342965,20,0,41,4135.07274057972,-338,278
1621934343115,1621934343225,110,14,296,14714.6980132881,-9966,163
1621934343335,1621934343365,30,2,209,11055.8616546917,-1,205
1621934343425,1621934343615,190,13,368,8049.77563460045,-26307,340
1621934343625,1621934343665,40,5,220,9657.8722045167,-11255,312
1621934343685,1621934343745,60,11,461,19074.5549612756,-7261,115
1621934343865,1621934344265,400,2,309,12889.5587705414,-21457,64
1621934344325,1621934344335,10,-1,38,-1.0,-1,-1
1621934344425,1621934344475,50,8,397,26111.6742946002,-30214,15
1621934344485,1621934344534,49,1,62,3130.59377932804,-985,218
1621934344564,1621934344584,20,0,31,554.968097322275,-1,218
1621934344594,1621934344614,20,0,75,3212.13740179554,-1,208
1621934344674,1621934344744,70,10,317,13722.6870951876,-12037,55
1621934344754,1621934344774,20,0,38,555.451127651664,-1,186
1621934344854,1621934344894,40,4,165,8046.51890172498,-9662,63
1621934345024,1621934345134,110,2,311,23413.8806726247,-21489,214
1621934345144,1621934345154,10,-1,35,3271.77977683787,-1,-1
1621934345394,1621934345434,40,6,275,13819.2673933958,-11219,357
1621934345454,1621934345474,20,0,44,1228.09010072861,-1,216
1621934345554,1621934345584,30,0,48,1253.02229105268,-552,128
1621934345594,1621934345714,120,17,843,53350.7807472126,-71328,0
