start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621596592868,1621596592878,9,-1,107,-1.0,-1,-1
1621596592888,1621596592998,110,1,447,26180.572688421,-34894,152
1621596593048,1621596593078,30,4,206,13501.9304024891,-17155,81
1621596593158,1621596593198,40,3,289,16132.1315121302,-20951,257
1621596593438,1621596593488,50,10,278,15040.6057792948,-13364,150
1621596593718,1621596593768,50,2,133,12084.4414144922,-6194,147
1621596593838,1621596593858,20,0,95,5804.47050570718,-1,333
1621596593868,1621596594028,160,9,2568,194318.400258062,-132747,331
1621596594148,1621596594178,30,2,136,8419.52733314932,-5630,310
1621596594298,1621596594338,40,2,134,8265.55870133939,-10416,75
1621596594398,1621596594528,130,2,396,34161.4413503422,-19702,233
1621596594538,1621596594717,179,9,612,56315.5016417212,-41706,161
1621596594917,1621596594987,70,1,84,3671.3335200922,-3981,167
1621596595027,1621596595037,10,-1,66,6357.86379623991,-1,-1
1621596595047,1621596595057,10,-1,65,4602.40284830653,-1,-1
1621596595127,1621596595267,140,8,541,43984.8458265564,-36550,345
1621596595297,1621596595367,70,0,394,13812.6405791585,-10491,79
1621596595377,1621596595387,10,-1,33,602.874175199311,-1,-1
1621596596636,1621596596646,10,-1,30,211.1983940613,-1,-1
1621596596756,1621596596776,20,0,75,3985.53503838517,-1,245
1621596596786,1621596596806,20,0,47,1943.48528900743,-1530,59
1621596597056,1621596597126,70,0,398,15801.9060137849,-9658,45
1621596597136,1621596597226,90,0,828,76275.8159155713,-44916,270
1621596597236,1621596597276,40,2,81,2927.52320554217,-4079,267
1621596597306,1621596597326,20,1,151,9716.32837786413,-1,75
1621596597336,1621596597346,10,-1,44,1954.05394000305,-1,-1
1621596597376,1621596597416,40,2,114,6081.22310100905,-6486,255
1621596597426,1621596597436,10,-1,108,9842.80695207879,-1,-1
1621596597446,1621596597466,20,0,65,4220.4016165839,-1456,90
1621596597586,1621596597606,20,0,62,3638.75870222475,-1925,240
1621596597646,1621596597666,20,1,193,10507.9957913074,-1,84
1621596597676,1621596597766,90,0,105,7977.95010320001,-2815,254
1621596597786,1621596597806,20,0,53,2383.28064956244,-802,250
1621596598355,1621596598365,10,-1,65,4653.1842866696,-1,-1
1621596598375,1621596598405,30,1,88,7628.84166279149,-4281,262
1621596598435,1621596598535,100,5,156,6370.0287765557,-9275,87
1621596598605,1621596598645,40,1,56,2300.01533481234,-1228,239
1621596598755,1621596598765,10,-1,41,3327.2755983907,-1,-1
1621596598775,1621596598795,20,1,109,9315.73041704961,-3855,87
1621596598905,1621596598925,20,0,57,4996.03049156643,-745,64
1621596598985,1621596599005,20,0,38,3609.96025904692,-345,237
1621596599085,1621596599105,20,1,70,5538.10263428135,-1,73
1621596599125,1621596599155,30,1,49,3338.28020332905,-1405,216
1621596599225,1621596599245,20,1,75,6381.29024147912,-1,57
1621596599265,1621596599325,60,0,76,5375.75941343089,-3003,229
1621596599345,1621596599435,90,0,87,7346.62374810987,-3977,191
1621596599445,1621596599455,10,-1,64,4965.7929492608,-1,-1
1621596599465,1621596599505,40,0,75,4891.17856947537,-3855,180
1621596599545,1621596599565,20,0,54,3932.00659868948,-466,245
1621596599625,1621596599635,10,-1,38,2400.11637158234,-1,-1
1621596599645,1621596599665,20,0,50,2866.94879838858,-1643,209
1621596599725,1621596599764,39,0,149,8465.18704397267,-1,305
1621596599884,1621596600214,330,19,774,62937.2274667208,-68696,179
1621596600404,1621596600434,30,3,145,6447.89269855012,-8537,324
1621596600624,1621596600654,30,0,48,2138.68544544886,-1265,231
1621596601024,1621596601044,20,0,163,13228.5287273349,-1,90
1621596601164,1621596601224,60,7,251,2471.9627130013,-16163,160
1621596601254,1621596601274,20,0,41,1387.5787479848,-913,311
1621596601793,1621596601943,150,7,628,35109.6977211584,-41985,327
1621596601963,1621596601983,20,3,167,15044.7019364894,-942,105
1621596602113,1621596602153,40,4,396,14531.0813769311,-1,190
1621596602263,1621596602443,180,14,559,27686.6844280902,-45013,357
1621596602453,1621596602503,50,1,194,9015.69365338842,-915,308
1621596602513,1621596602613,100,10,646,47089.3979108722,-18898,0
1621596602703,1621596602933,230,6,430,37265.8293172231,-15098,297
1621596602943,1621596602953,10,-1,349,31985.5657942042,-1,-1
1621596603133,1621596603143,10,-1,31,1683.80800228006,-1,-1
1621596603302,1621596603362,60,5,335,21135.6202792683,-17262,91
1621596603412,1621596603432,20,0,31,1453.26508499568,-6,83
1621596603482,1621596603502,20,1,142,10308.298327313,-1,330
1621596603512,1621596603562,50,2,159,14986.6306425023,-10339,108
1621596603602,1621596603672,70,8,187,10594.7920181929,-3607,259
1621596604072,1621596604112,40,1,47,2880.34173263726,-1118,80
1621596604152,1621596604172,20,1,84,5587.92242344444,-1,235
1621596604262,1621596604272,10,-1,35,531.304630362812,-1,-1
1621596604302,1621596604322,20,1,231,14186.7354841398,-1,344
1621596604412,1621596604552,140,12,954,31202.8225143439,-42088,266
1621596604572,1621596604632,60,3,317,26483.7623100147,-17916,154
1621596604642,1621596604702,60,2,66,2250.55056984453,-1602,165
1621596604712,1621596605171,459,2,684,24268.2194656211,-39468,38
1621596605251,1621596605261,10,-1,32,282.803222535651,-1,-1
1621596605291,1621596605311,20,0,50,2727.83606995828,-1105,270
1621596605501,1621596605521,20,0,65,4008.54904217223,-1,35
1621596605651,1621596605671,20,0,32,423.424480680367,-1,135
1621596607850,1621596607880,30,2,113,6142.05738332286,-6272,195
1621596608010,1621596608060,50,1,111,7507.40050318414,-6630,217
1621596608070,1621596608270,200,4,166,11935.2911374086,-10811,292
1621596608299,1621596608399,99,3,150,14853.8828040836,-6815,353
1621596608599,1621596608639,40,1,59,3245.65096106589,-2158,88
1621596608819,1621596608879,60,0,84,6191.0815320892,-5099,121
1621596609199,1621596609209,10,-1,76,5293.33400261348,-1,-1
1621596609219,1621596609239,20,0,62,3530.80965780448,-2521,86
1621596609359,1621596609369,10,-1,31,2384.58645944014,-1,-1
1621596609779,1621596609789,10,-1,70,4508.67929771676,-1,-1
1621596609799,1621596609829,30,0,54,2911.87688812164,-1600,78
1621596609859,1621596609899,40,0,80,5559.63808811896,-3031,282
1621596610158,1621596610188,30,2,111,7979.38640905589,-5881,101
1621596610198,1621596610228,30,1,101,7536.31127410736,-3706,249
1621596610238,1621596610258,20,1,101,8161.6540937879,-3162,77
1621596610318,1621596610358,40,4,152,9556.00389665825,-8443,157
1621596610608,1621596610628,20,0,39,1518.50201329694,-1,209
1621596610788,1621596610838,50,1,80,4769.95296553939,-3197,122
1621596610948,1621596610968,20,0,45,1775.78490232377,-1254,353
1621596611058,1621596611108,50,2,79,4371.76213562197,-1797,357
1621596611118,1621596611608,490,9,956,56343.5000069747,-40649,288
1621596611618,1621596611777,159,4,1517,115712.59299964,-110901,247
1621596611827,1621596611857,30,5,258,14004.8926432973,-15612,48
1621596611867,1621596611997,130,7,589,37175.8651278194,-29598,263
1621596612017,1621596612127,110,16,454,34408.4899558224,-29992,155
1621596612137,1621596612267,130,6,192,10948.0167289893,-7169,359
1621596612277,1621596612287,10,-1,56,3925.89812249699,-1,-1
1621596612297,1621596612367,70,3,95,5177.48081077628,-6070,351
1621596612377,1621596612387,10,-1,45,1967.92672819046,-1,-1
1621596612397,1621596612407,10,-1,30,631.061628160718,-1,-1
1621596612437,1621596612457,20,1,69,4707.87016454202,-1627,58
1621596612477,1621596612487,10,-1,53,2569.68127847033,-1,-1
1621596612607,1621596612627,20,0,33,489.126885523048,-1,167
1621596612637,1621596612647,10,-1,43,1757.10222739328,-1,-1
1621596612667,1621596612707,40,1,43,2388.71602609343,-466,239
1621596612857,1621596613027,170,2,1355,112143.992648262,-115665,161
1621596613107,1621596613596,489,12,537,46862.5849691493,-46351,174
1621596613696,1621596613816,120,3,671,2661.29804744593,-39981,356
1621596613826,1621596613846,20,1,132,5966.33925933535,-1,170
1621596614036,1621596614136,100,13,478,25043.0259441787,-20056,85
1621596614206,1621596614256,50,1,455,44795.0368094666,-25456,159
1621596614286,1621596614326,40,3,134,6276.94350944992,-3544,32
1621596614336,1621596614346,10,-1,38,2772.95067356997,-1,-1
1621596614526,1621596614536,10,-1,34,1479.7507201381,-1,-1
1621596614546,1621596614636,90,20,573,18689.535587189,-27027,346
1621596614646,1621596614786,140,8,69,3072.99810990783,-1833,175
1621596614796,1621596614826,30,1,59,2369.52291448487,-2474,191
1621596614836,1621596614856,20,1,59,4711.26090137841,-652,100
1621596614876,1621596614886,10,-1,32,405.377739374551,-1,-1
1621596614896,1621596615036,140,14,544,42892.6037746729,-22866,269
1621596615046,1621596615056,10,-1,34,966.356060486114,-1,-1
1621596615155,1621596615185,30,1,154,7596.06532450466,-1,188
1621596615315,1621596615385,70,3,1688,85402.4726796094,-124927,104
1621596615395,1621596615405,10,-1,37,2554.60885002945,-1,-1
1621596615455,1621596615465,10,-1,36,1567.35966931145,-1,-1
1621596615515,1621596615575,60,3,416,32229.766172372,-24120,353
1621596615685,1621596615745,60,6,727,21500.4346989765,-30502,307
1621596615835,1621596615855,20,0,49,715.5918222112,-1,51
1621596615895,1621596615955,60,3,2064,205735.632678569,-144959,172
1621596615965,1621596615975,10,-1,425,39684.7571832309,-1,-1
