start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621849161351,1621849161511,160,8,531,20021.0787063202,-38394,22
1621849161521,1621849161531,10,-1,105,7852.87836014244,-1,-1
1621849161541,1621849161591,50,3,82,4051.15437894626,-3657,140
1621849161621,1621849161631,10,-1,233,21734.4308049879,-1,-1
1621849161701,1621849161731,30,1,263,19.8292673831602,-20244,233
1621849161741,1621849161751,10,-1,33,497.540030971588,-1,-1
1621849161771,1621849161791,20,0,54,1956.17237411138,-1,206
1621849161801,1621849161851,50,2,241,21570.2962369937,-15968,198
1621849161861,1621849161911,50,9,337,16562.6217921508,-13877,350
1621849161931,1621849161951,20,1,78,2952.53748343787,-1,175
1621849161961,1621849161971,10,-1,114,10819.6937309638,-1,-1
1621849161981,1621849162031,50,4,465,40835.3686495658,-32373,197
1621849162041,1621849162111,70,3,650,50245.5151433149,-60841,198
1621849162121,1621849162191,70,19,513,34166.6443157821,-25467,4
1621849162201,1621849162310,109,9,106,5421.30776867075,-2886,183
1621849162320,1621849162350,30,1,70,4238.07884848505,-1088,197
1621849162360,1621849162670,310,21,1279,124299.923310553,-112579,9
1621849162690,1621849162720,30,6,264,11918.1957706725,-1,192
1621849162780,1621849163000,220,27,617,27409.6197789668,-18000,119
1621849163070,1621849163360,290,9,724,43438.0838529653,-53888,254
1621849163580,1621849163879,299,45,815,56337.9062712159,-66373,350
1621849163919,1621849163929,10,-1,45,2636.88764845258,-1,-1
1621849163939,1621849163949,10,-1,60,3960.18271054443,-1,-1
1621849163959,1621849163979,20,4,325,16167.1366685312,-1,238
1621849164089,1621849164179,90,1,148,5042.59172070319,-10231,261
1621849164269,1621849164329,60,3,433,3524.24313659954,-33821,81
1621849164419,1621849164429,10,-1,30,219.785474573121,-1,-1
1621849164489,1621849164519,30,0,39,631.728195640979,-805,151
1621849164589,1621849164599,10,-1,39,2417.86978835299,-1,-1
1621849164759,1621849164769,10,-1,37,2810.41591918394,-1,-1
1621849165099,1621849165139,40,2,582,41648.6432902961,-2355,164
1621849165219,1621849165489,270,20,1090,97178.7774220907,-94839,317
1621849165548,1621849165578,30,1,161,-1.0,-7218,327
1621849166408,1621849166448,40,10,1411,88634.7687063738,-1,147
1621849166518,1621849166538,20,0,650,-1.0,-59268,220
1621849166578,1621849166598,20,0,30,1272.53236576056,-1,218
1621849166628,1621849166648,20,0,32,2155.82297826077,-1,220
1621849166718,1621849166798,80,14,343,16370.7444926761,-25924,264
1621849168557,1621849168577,20,3,617,42217.3186960431,-1,3
1621849168697,1621849168747,50,1,337,5419.0792822245,-22542,164
1621849168767,1621849168776,9,-1,32,570.014648731336,-1,-1
1621849168966,1621849168996,30,3,142,9167.31058920853,-7693,174
1621849169236,1621849169256,20,1,70,5029.31198494401,-1747,7
1621849169286,1621849169326,40,2,97,3632.26419053463,-1,206
1621849169336,1621849169376,40,0,94,8963.75716378783,-4934,18
1621849169416,1621849169436,20,0,34,2291.43129253867,-433,343
1621849169446,1621849169596,150,30,1218,56229.069702785,-74071,168
1621849169776,1621849169896,120,0,364,14641.0886954385,-23909,98
1621849170156,1621849170166,10,-1,37,3537.60728443141,-1,-1
1621849170176,1621849170256,80,32,663,33422.8167268323,-17516,349
1621849170286,1621849170316,30,2,116,5738.86538154117,-6185,160
1621849170336,1621849170555,219,9,2417,173678.247571136,-227988,178
1621849170785,1621849170825,40,7,263,16659.175259183,-9302,183
1621849171065,1621849171165,100,25,598,21850.8904794173,-23745,171
1621849171465,1621849171485,20,11,668,48544.7806385144,-1,43
1621849171595,1621849171655,60,6,1224,3545.10948681721,-85120,248
1621849171925,1621849171995,70,13,326,13845.5523888679,-12857,80
1621849172104,1621849172364,260,26,840,72525.625470183,-45060,136
1621849172404,1621849172414,10,-1,33,453.208213134512,-1,-1
1621849172424,1621849172504,80,1,481,41155.3507586821,-35969,186
1621849172544,1621849172554,10,-1,37,898.72823221269,-1,-1
1621849172594,1621849172724,130,31,633,35230.4246827603,-38991,241
1621849172814,1621849172844,30,2,93,4648.89387618936,-3596,244
1621849172924,1621849172984,60,5,299,-1.0,-13689,329
1621849173284,1621849173314,30,3,197,-1.0,-9942,71
1621849173454,1621849173624,170,8,211,7783.16300653922,-9219,342
1621849173793,1621849173843,50,2,72,2157.81870352714,-2183,309
1621849173853,1621849174133,280,12,175,7138.19738266699,-8275,269
1621849174203,1621849174253,50,19,1421,-1.0,-62150,308
1621849174313,1621849174323,10,-1,38,1845.21928771976,-1,-1
1621849174413,1621849174443,30,2,106,6885.09975549755,-5937,8
1621849174553,1621849174653,100,3,38,498.335008834194,-424,186
1621849175642,1621849175662,20,0,95,5571.04370113728,-1,78
1621849175752,1621849175812,60,9,399,6891.25598072054,-13069,297
1621849176642,1621849176662,20,0,43,1816.56283953433,-457,29
1621849176682,1621849176702,20,0,43,852.894186445679,-1,20
1621849176792,1621849176852,60,1,38,548.527064998932,-427,31
1621849176902,1621849176912,10,-1,60,3029.51526431306,-1,-1
1621849176982,1621849177061,79,22,560,4775.00940447798,-22983,240
1621849177181,1621849177281,100,7,260,11543.4152289257,-22533,195
