start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1622112845131,1622112845201,70,17,853,31389.4813364312,-8278,143
1622112845391,1622112845531,140,10,2240,51085.5110833478,-201210,179
1622112845610,1622112845700,90,4,178,1175.87737192042,-12418,354
1622112845790,1622112845800,10,-1,34,1064.62911117002,-1,-1
1622112845810,1622112845830,20,0,61,2812.73422251085,-1,33
1622112845940,1622112845980,40,7,331,13467.259695463,-1,229
1622112846060,1622112846070,10,-1,56,-1.0,-1,-1
1622112846080,1622112846110,30,1,94,2893.47760127112,-1,79
1622112846210,1622112846230,20,0,83,-1.0,-5051,45
1622112846260,1622112846280,20,0,63,3399.03869654061,-1961,7
1622112846310,1622112846320,10,-1,38,1092.383310113,-1,-1
1622112846370,1622112846380,10,-1,37,1561.65945045855,-1,-1
1622112846740,1622112846760,20,0,34,2963.98617741754,-204,276
1622112846780,1622112846850,70,13,302,13417.516129054,-13588,99
1622112846870,1622112846910,40,1,49,3587.25403080737,-971,276
1622112846990,1622112847050,60,2,93,3687.7906871004,-5424,175
1622112847289,1622112847299,10,-1,52,-1.0,-1,-1
1622112847419,1622112847459,40,3,123,7170.0297684358,-8040,198
1622112847989,1622112848199,210,19,181,4118.40805361011,-8881,270
1622112848279,1622112848289,10,-1,88,-1.0,-1,-1
1622112848299,1622112848319,20,0,74,3368.07995880216,-1,98
1622112848379,1622112848469,90,6,573,29006.8686244883,-1931,156
1622112848529,1622112848589,60,13,445,11602.891339687,-18946,262
1622112848679,1622112848749,70,4,244,8785.83334391135,-18049,40
1622112848828,1622112848898,70,1,132,3283.5294062954,-9600,75
1622112849008,1622112849078,70,2,68,2601.6500368944,-2319,38
1622112849458,1622112849528,70,3,71,4234.20634554333,-2058,92
1622112849548,1622112849558,10,-1,31,707.520880331285,-1,-1
1622112849588,1622112849598,10,-1,93,6880.98472838806,-1,-1
1622112849658,1622112849668,10,-1,54,-1.0,-1,-1
1622112849678,1622112849698,20,0,37,3032.41287041672,-462,18
1622112849768,1622112849878,110,18,406,21927.819285181,-18890,298
1622112849948,1622112850008,60,3,118,6540.39579551702,-6947,101
1622112850078,1622112850098,20,0,37,2031.13609533239,-16,81
1622112850128,1622112850168,40,5,187,9735.02346913529,-192,200
1622112850258,1622112850298,40,10,607,16728.6831829751,-40543,24
1622112850358,1622112850368,10,-1,180,-1.0,-1,-1
1622112850397,1622112850447,50,6,242,8878.32972936795,-15951,225
1622112850547,1622112850577,30,1,49,1429.44638935316,-1,1
1622112850667,1622112850697,30,1,80,3702.10286361985,-1,33
1622112850787,1622112850827,40,9,350,21708.5823090462,-7108,38
1622112850987,1622112850997,10,-1,35,1476.78940596023,-1,-1
1622112851057,1622112851077,20,0,36,-1.0,-520,230
1622112851397,1622112851477,80,6,961,3303.74151709004,-83181,264
1622112851497,1622112851547,50,2,105,5235.65496071517,-1293,221
1622112851617,1622112851627,10,-1,34,1387.97433160131,-1,-1
1622112851677,1622112851697,20,0,55,2388.06413797299,-1,167
1622112851907,1622112851917,10,-1,45,-1.0,-1,-1
1622112851937,1622112851967,30,1,176,15541.2706845839,-9026,252
1622112851976,1622112852076,99,2,308,21816.806822332,-24686,173
1622112852206,1622112852266,60,0,136,6594.60553906581,-1354,112
1622112852276,1622112852366,90,0,130,4684.08708220208,-1554,291
1622112852406,1622112852426,20,1,523,44959.5852938822,-1,98
1622112852486,1622112852496,10,-1,177,-1.0,-1,-1
1622112852646,1622112852676,30,2,145,10832.4709304719,-8283,280
1622112852756,1622112852766,10,-1,48,2294.20209217427,-1,-1
1622112852776,1622112852796,20,0,50,1995.42528644394,-1,77
1622112852876,1622112852936,60,1,91,6591.21040401724,-2869,303
1622112852996,1622112853026,30,1,79,4350.22875932693,-2302,93
1622112853456,1622112853496,40,3,110,947.387876604151,-2427,201
1622112853745,1622112853795,50,3,123,7541.36266507294,-5784,29
