start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621934977099,1621934977519,420,40,1904,110813.336734405,-146944,36
1621934977529,1621934977539,10,-1,35,660.834303081889,-1,-1
1621934977559,1621934977579,20,0,57,4405.56040584251,-858,277
1621934977609,1621934977619,10,-1,48,2704.47197318596,-1,-1
1621934977629,1621934977639,10,-1,42,2060.39320694503,-1,-1
1621934977689,1621934977709,20,0,32,1587.98408664595,-12,293
1621934977749,1621934977779,30,3,179,7973.85961225339,-8094,15
1621934977889,1621934977939,50,1,48,1496.22427591079,-320,35
1621934977969,1621934977999,30,0,35,886.339975560575,-501,45
1621934978199,1621934978349,150,30,672,29092.0923230696,-26920,193
1621934978369,1621934978428,59,4,164,10173.9262204109,-7572,21
1621934978439,1621934978468,29,2,112,6097.22237596576,-6357,252
1621934978478,1621934978508,30,3,176,11812.8497475276,-12332,42
1621934978518,1621934978698,180,4,574,39300.2642434644,-34597,294
1621934978708,1621934979048,340,9,400,24740.2052388474,-32865,134
1621934979058,1621934979398,340,10,2368,137259.502770425,-121980,263
1621934979408,1621934979558,150,7,375,36783.091989438,-21121,153
1621934979588,1621934979618,30,1,46,2572.49679279658,-1621,50
1621934979638,1621934979648,10,-1,35,675.354802663956,-1,-1
1621934979678,1621934979748,70,17,386,18454.2904151387,-15455,221
1621934979778,1621934979818,40,2,51,3644.76362190276,-59,223
1621934979888,1621934980467,579,34,851,46264.7049328183,-51914,15
1621934980507,1621934980517,10,-1,37,1140.28256095634,-1,-1
1621934980607,1621934980667,60,2,68,4919.25346197169,-2260,73
1621934980687,1621934980737,50,0,211,14742.2465833965,-4416,74
1621934980777,1621934980797,20,0,69,3736.08690177725,-1,83
1621934980877,1621934980917,40,1,54,2316.38711504626,-1185,82
1621934980927,1621934980947,20,0,31,2004.35699579614,-1,276
1621934981027,1621934981037,10,-1,37,1067.07625223669,-1,-1
1621934981047,1621934981097,50,2,75,3834.83461361023,-3160,104
1621934981197,1621934981217,20,2,369,24275.2973256257,-1,186
1621934981227,1621934981257,30,2,399,36987.4849062876,-27106,337
1621934981557,1621934981577,20,0,49,3189.37972835835,-266,90
1621934981766,1621934981796,29,2,379,27172.6467406745,-1,170
1621934981806,1621934981826,20,2,390,36135.4034331145,-26000,15
1621934981956,1621934981976,20,0,64,4860.50202710057,-14,273
1621934981996,1621934982016,20,1,70,4914.080826691,-1554,267
1621934982206,1621934982256,50,1,59,3047.36469278905,-2789,136
1621934982446,1621934982456,10,-1,36,2304.99467366881,-1,-1
1621934982466,1621934982486,20,0,48,3379.10736216233,-1,261
1621934982916,1621934982986,70,11,467,23809.1335078039,-21970,319
1621934982996,1621934983066,70,0,177,5311.08675252567,-10,35
1621934983106,1621934983116,10,-1,30,1010.76808856595,-1,-1
1621934983176,1621934983216,40,5,199,8933.53502421095,-10409,51
1621934983236,1621934983256,20,0,43,2360.71598343555,-1,53
1621934983395,1621934983405,9,-1,31,1336.04944491695,-1,-1
1621934983455,1621934983735,280,13,706,41039.5891778274,-46004,182
1621934983955,1621934984005,50,2,59,2626.51255758688,-1456,20
1621934984015,1621934984045,30,1,51,2172.81169689588,-1811,87
1621934984215,1621934984295,80,8,186,12379.7045925536,-7153,228
1621934984495,1621934984545,50,5,227,10942.5522603713,-10595,49
1621934984645,1621934984675,30,2,106,6818.64529974965,-3102,87
1621934984695,1621934984715,20,0,56,2829.96411759427,-1776,266
1621934984725,1621934984755,30,1,67,3115.04936366501,-1550,92
1621934984795,1621934984845,50,1,401,28954.1184595996,-26435,77
1621934985334,1621934985374,40,4,172,10638.9426360523,-9070,208
1621934986963,1621934987133,170,9,773,28880.5114566939,-61927,329
1621934987143,1621934987213,70,3,314,29891.9823203007,-23532,55
1621934987273,1621934987313,40,5,221,13426.049828983,-12614,160
1621934987483,1621934987513,30,4,228,11336.2328851557,-12003,214
1621934987653,1621934987683,30,1,79,4262.68611803313,-1973,183
1621934987733,1621934987833,100,2,237,12282.4096689138,-11345,165
1621934987873,1621934987903,30,1,63,2749.19796361739,-1830,154
1621934988333,1621934988343,10,-1,32,251.852493307819,-1,-1
1621934988512,1621934988632,120,14,376,20077.4837588492,-15559,23
1621934988642,1621934988712,70,1,116,5283.56687398071,-7179,12
1621934988722,1621934988742,20,0,34,622.690838913946,-373,329
1621934988772,1621934988792,20,0,57,3416.39080628164,-5,280
1621934988812,1621934988822,10,-1,30,564.115556116219,-1,-1
1621934988892,1621934988912,20,0,35,1559.8647009018,-221,66
1621934988932,1621934988952,20,0,58,2410.84519087696,-1,65
1621934988962,1621934989222,260,9,403,19230.8388010015,-23076,169
1621934989512,1621934989532,20,0,46,1813.51283026285,-1,90
1621934989562,1621934989582,20,0,39,1821.3970565563,-1,81
1621934989812,1621934989842,30,0,37,570.441238598384,-251,282
1621934989972,1621934990051,79,12,584,31218.3512475634,-42376,332
1621934990221,1621934990281,60,12,384,18152.0985241343,-13981,163
1621934990781,1621934990901,120,14,389,19305.0002560927,-17805,1
1621934991011,1621934991041,30,0,244,20931.9914425584,-5588,180
1621934991051,1621934991101,50,11,389,15741.3621420649,-19630,175
1621934991161,1621934991191,30,1,80,3637.1668364286,-4696,172
1621934991591,1621934991641,50,10,483,30772.3323418332,-37657,348
1621934991710,1621934991720,10,-1,45,3895.84648787531,-1,-1
1621934991730,1621934991750,20,2,167,15788.0276261057,-5625,71
1621934991760,1621934991780,20,0,56,2963.56353029413,-1,64
1621934992250,1621934992320,70,5,157,8098.56457367051,-5080,305
1621934992330,1621934992350,20,0,43,1223.85361273257,-1,305
1621934992460,1621934992470,10,-1,45,2084.88998044151,-1,-1
1621934992480,1621934992770,290,40,708,28431.8990277452,-31294,180
1621934992800,1621934993290,490,30,371,29294.5490198576,-25197,7
1621934993300,1621934993329,29,1,57,1637.93393123052,-1832,7
1621934993369,1621934993389,20,0,38,1057.07241546132,-556,29
1621934993399,1621934993459,60,2,104,3202.31462586388,-4820,47
1621934993469,1621934993479,10,-1,40,1858.95037599587,-1,-1
1621934993519,1621934993529,10,-1,34,973.341152239887,-1,-1
1621934993559,1621934993589,30,1,72,3510.8096714275,-2998,318
1621934993649,1621934993689,40,1,58,1897.38285893199,-1797,345
1621934993699,1621934993819,120,32,1036,57923.1354274614,-83074,46
1621934994159,1621934994339,180,2,258,12663.9325258276,-9054,175
1621934994349,1621934994379,30,1,39,1810.51604716752,-44,342
1621934994389,1621934994479,90,12,315,14521.3823033892,-21252,185
1621934994489,1621934994689,200,11,183,10972.7609069665,-5498,142
1621934994699,1621934994719,20,3,188,15070.6052708075,-1,3
1621934994729,1621934994949,220,9,307,16054.5082295314,-19326,275
1621934994959,1621934994988,29,1,77,3217.76221895614,-4314,110
1621934995018,1621934995038,20,0,44,1562.57401068831,-1333,157
1621934995048,1621934995228,180,14,939,23721.4619758993,-87308,138
1621934995238,1621934995328,90,5,709,44733.3528434204,-47929,291
1621934995348,1621934995608,260,40,498,20492.7445338916,-27502,177
1621934995758,1621934995788,30,3,188,16198.2416897477,-5290,60
1621934995798,1621934995838,40,1,58,1853.56697791243,-825,358
1621934995858,1621934996338,480,7,2082,62769.4708415631,-196591,326
1621934996348,1621934996358,10,-1,55,4089.4126775487,-1,-1
1621934996378,1621934996468,90,1,450,39572.6312396052,-15360,20
1621934996478,1621934996488,10,-1,95,7643.4462340064,-1,-1
1621934996508,1621934996647,139,8,333,22592.3797112725,-23785,139
1621934996757,1621934996867,110,9,430,19258.213049936,-20316,123
1621934996877,1621934996887,10,-1,36,1893.5059173832,-1,-1
1621934996937,1621934996947,10,-1,283,27768.1477763632,-1,-1
1621934996957,1621934997077,120,8,424,34376.0736735854,-29477,318
1621934997247,1621934997327,80,4,915,43727.5785435708,-69827,260
1621934997337,1621934997467,130,7,256,24657.0692685089,-16614,55
1621934997637,1621934997687,50,2,88,3797.13451934815,-20,206
1621934997697,1621934997717,20,0,115,9111.91862934429,-7351,70
1621934997767,1621934997827,60,5,361,23397.5069586858,-18014,192
1621934997977,1621934998067,90,2,286,18785.8071263982,-20034,17
1621934998346,1621934998376,30,3,345,-1.0,-17428,308
1621934998436,1621934998636,200,2,332,25783.1989909422,-29220,302
1621934998646,1621934998666,20,0,65,3422.14915958689,-1,262
1621934998786,1621934998816,30,1,75,3199.10434525463,-3624,99
1621934998836,1621934998856,20,0,40,2656.28695576901,-1,127
1621934998916,1621934999026,110,5,85,4233.95071685134,-2870,109
